代码,名称,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%
000544,中原环保,13.28,0.137㈡,3.4,0,1.75,0.54,39.18,          4.04㈡,32.64,12.07,11.62
000545,金浦钛业,--  ,0.066㈡,1.71,0,0.42,0.73,70.48,          3.85㈡,16.17,--  ,16.24
000546,金圆股份,7.79,0.019㈡,2.74,0,1.03,0.6,40.22,          0.70㈡,12.16,6.92,2.16
000547,航天发展,15.99,0.109㈡,2.51,2.51,0.35,0.51,56.65,          6.52㈡,36.69,14.37,49.67
000548,湖南投资,8.79,0.009㈡,2.94,0,0.96,0.78,72.7,          0.30㈡,58.95,7.6,5.18
000550,江铃汽车,25.17,1.253㈡,12.56,0,0.97,10.09,55.43,          9.97㈡,24.85,22.6,9.02
000551,创元科技,8.28,0.054㈡,3.27,0,0.77,1.14,40.4,          1.64㈡,24.27,7.35,1.93
000552,靖远煤电,8.13,0.109㈡,5.37,0,2.51,1.39,71.38,          2.03㈡,27.02,7.23,10.79
000553,沙隆达Ａ,--  ,0.198㈡,3.49,0,0.44,1.71,64.06,          5.68㈡,23.76,--  ,9.53
000554,泰山石油,9.48,0.004㈡,1.91,0,0.39,0.28,87.84,          0.21㈡,6.76,8.36,0.13
000555,神州信息,35.44,0.243㈡,6.57,0,3.43,1.96,43.22,          3.70㈡,19.84,31.2,3.88
000557,*ST广夏,5.71,0.000㈡,0.21,0,1.48,-2.28,51.31,          0.04㈡,51.89,5.61,1.22
000558,莱茵体育,18.58,-0.030㈡,1.86,0,0.58,0.21,36.92,         -1.62㈡,13.16,16.35,-2.2
000559,万向钱潮,16.42,0.196㈡,1.68,0,0.13,0.45,37.16,         11.64㈡,21.04,14.2,8.47
000560,昆百大Ａ,18.8,0.020㈡,7.63,0,4.85,1.51,60.28,          0.12㈡,30.89,16.86,0.57
000561,烽火电子,9.35,0.010㈡,1.59,0,0.08,0.5,50.82,          0.63㈡,41.3,8.39,1.77
000563,陕国投Ａ,9.28,0.238㈡,3.6,0,1.2,0.89,75.58,          6.61㈡,--  ,8.31,40.16
000564,西安民生,8.94,0.049㈡,3.67,3.67,1.06,0.49,22.76,          2.11㈡,24.64,8.02,1.74
000565,渝三峡Ａ,10.9,0.350㈡,1.79,0,0.43,0.74,72.66,         19.49㈡,29.08,9.64,63.7
000566,海南海药,--  ,0.220㈡,4.03,0,2.07,0.92,49.07,          5.19㈡,40.19,--  ,14.05
000567,海德股份,14.01,0.094㈡,1.38,0,0.77,-0.39,95.83,          6.82㈡,3.86,12.8,152.27
000568,泸州老窖,22,0.728㈡,7.08,0,0.47,4.38,73.01,         10.29㈡,52.67,20.51,27.64
000570,苏常柴Ａ,8.39,0.067㈡,3.78,0,0.29,1.04,62.5,          1.77㈡,13.3,7.61,2.76
000571,新大洲Ａ,5.35,0.062㈡,2.73,0,0.79,0.86,45.48,          2.26㈡,34.5,5,12.32
000572,海马汽车,5.95,0.118㈡,4.5,0,2.3,1.14,48.94,          2.61㈡,17.42,5.37,3.22
000573,粤宏远Ａ,4.69,-0.040㈡,2.52,0,0.89,0.29,48.89,         -1.58㈡,29.78,4.3,-12.39
000576,广东甘化,10.19,-0.055㈡,2.25,0,1.9,-0.71,64.08,         -2.46㈡,7.53,9.22,-12.62
000581,威孚高科,23.38,1.025㈡,11.39,0,3.56,6.09,75.2,          9.00㈡,22.03,22,30.85
000582,北部湾港,16.24,0.290㈡,5.98,0,2.81,1.86,47.4,          4.31㈡,35.83,14.98,16.03
000584,友利控股,11.14,0.069㈡,3.18,0,1.1,0.91,61.17,          2.18㈡,27.52,9.62,6.37
000585,东北电气,5.82,-0.002㈡,0.33,0,1.01,-1.77,57.77,         -0.55㈡,27.37,5,-2.39
000586,汇源通信,--  ,0.005㈡,1.1,0,0.31,-0.29,45.8,          0.45㈡,16.35,--  ,0.56
000587,金叶珠宝,--  ,0.129㈡,2.47,0,0.71,0.72,41.15,          5.21㈡,5.17,--  ,1.51
000589,黔轮胎Ａ,6.13,0.084㈡,4.95,0,2.37,1.37,34.01,          1.71㈡,27.92,5.69,3.06
000590,*ST古汉,--  ,0.051㈡,0.88,0,0.68,-1.02,34.13,          5.75㈡,55.68,--  ,7.05
000591,桐 君 阁,14.28,0.069㈡,1.51,0,0.13,0.14,12.67,          4.57㈡,16.13,12.81,0.75
000592,平潭发展,14,0.036㈡,1.38,0,0.64,-0.3,48.75,          2.64㈡,17.8,12.28,6.12
000593,大通燃气,8.96,0.025㈡,2.36,0,0.96,0.4,88.42,          1.05㈡,28.94,8.08,3.37
000595,宝塔实业,--  ,-0.130㈡,2.25,0,2.17,-0.95,63.89,         -5.30㈡,1.68,--  ,-33.6
000596,古井贡酒,30.29,0.756㈡,8.97,0,2.57,4.74,64.2,          8.43㈡,69.5,28.38,14.03
000597,东北制药,7.38,-0.181㈡,5.43,0,3.73,0.5,29.52,         -3.34㈡,28.77,6.88,-4.07
000598,兴蓉环境,6.49,0.146㈡,2.62,0,0.6,0.97,61.54,          5.58㈡,43.97,6.05,29.18
000599,青岛双星,7.03,0.039㈡,3.73,0,1.77,0.88,45.28,          1.04㈡,15.31,6.3,1.73
000600,建投能源,9.16,0.611㈡,5.38,0,2.46,1.79,39.07,         11.36㈡,42.43,8.39,22.7
000601,韶能股份,--  ,0.129㈡,3.52,0,1.47,0.61,44.53,          3.67㈡,30.23,--  ,9.45
000603,盛达矿业,13.65,0.267㈡,1.65,0,0,1.46,59.86,         16.18㈡,80.67,12.48,32.15
000605,渤海股份,15.29,0.057㈡,4.97,0,2.52,1.29,41.32,          1.14㈡,22.35,14.02,3.33
000606,青海明胶,7.05,-0.090㈡,1.66,0,0.82,-0.29,61.26,         -5.43㈡,-2.69,6.44,-28.37
000607,华媒控股,8.46,0.070㈡,1.31,0,-0.23,0.49,63.21,          5.35㈡,28.11,7.6,10.87
000608,阳光股份,4.59,-0.022㈡,4.37,0,0.68,2.31,31.28,         -0.51㈡,66.71,4.2,-4.85
000609,绵世股份,11.5,-0.013㈡,4.28,0,0.04,2.89,65.19,         -0.31㈡,23.28,10.29,-14.15
000610,西安旅游,10.88,-0.037㈡,3.24,0,1.67,0.42,73.78,         -1.13㈡,6.72,10.01,-2.82
000611,*ST蒙发,8.21,-0.068㈡,1.62,0,0.43,0.19,75.45,         -4.17㈡,-4.2,8.21,-141.32
