代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
300465	高伟达	-8.66	-3.17	6.66	33.44	-7.10	130	0.00	-40.77	          6.22	   164.50	          1.57	          1.57	36.61	17.91	          1469	          3.77	软件服务	       3334.00	北京	16.25	
300466	赛摩电气	--  	--  	--  	27.28	--  	0	0.00	-90.81	          4.90	   128.51	          1.59	          1.59	27.28	27.57	          1439	          8.58	电器仪表	       2000.00	江苏	0.00	
300467	迅游科技	--  	--  	--  	218.89	--  	0	0.65	441.65	         21.07	   143.46	          0.87	          0.87	218.89	10.25	           636	         36.04	互联网	       1000.00	四川	0.00	
300468	四方精创	-0.48	-0.20	8.54	41.26	-6.44	99	0.00	-92.85	          5.52	    73.19	          1.49	          1.49	41.46	4.49	          1825	         20.09	软件服务	       2500.00	深圳	15.65	
300469	信息发展	-8.21	-3.50	4.20	39.15	-7.39	93	0.00	-16.48	          8.99	--  	          1.27	          1.27	42.65	48.52	           616	         -9.13	软件服务	       1670.00	上海	12.68	
300470	日机密封	-6.36	-4.17	6.17	61.42	-2.42	557	0.00	716.72	          4.32	    49.00	          4.66	          4.66	65.59	15.06	          1016	         20.64	机械基件	       1334.00	四川	12.97	
300471	厚普股份	0.91	0.73	8.52	80.90	-5.20	138	-21.30	-33.87	          4.34	    43.42	          5.92	          5.92	80.17	34.80	          1052	         15.16	专用机械	       1480.00	四川	14.26	
300472	新元科技	-9.22	-3.22	3.55	31.70	-8.88	328	0.00	-61.34	          5.80	    71.41	          1.55	          1.55	34.92	24.68	          1211	         15.13	专用机械	       1667.00	北京	13.34	
300473	德尔股份	1.33	0.56	8.38	42.54	-4.45	605	0.00	52.65	          2.94	    24.64	          3.15	          3.15	41.98	21.23	           895	         21.97	汽车配件	       2500.00	辽宁	12.86	
300475	聚隆科技	-8.17	-1.62	5.04	18.22	-7.01	899	0.00	34.83	          3.62	    35.57	          1.72	          1.72	19.84	16.51	           619	         28.92	专用机械	       5000.00	安徽	13.66	
300476	胜宏科技	-1.48	-0.43	6.52	28.56	-3.83	318	105.89	276.73	          3.55	    33.62	          1.92	          1.92	28.99	33.53	          1101	         10.91	元器件	       3667.00	广东	11.62	
300477	合纵科技	-4.31	-1.23	3.58	27.30	-7.96	893	0.00	-119.76	          4.37	    49.40	          2.78	          2.78	28.53	52.45	           960	          6.20	电气设备	       2600.00	北京	11.92	
300478	杭州高新	-4.66	-1.55	4.60	31.70	-5.23	117	0.00	174.76	          4.55	    67.75	          2.00	          2.00	33.25	24.12	          1055	          6.62	橡胶	       1667.00	浙江	12.87	
300479	神思电子	-5.74	-2.23	6.72	36.61	-7.31	125	0.00	-49.48	          7.72	    63.15	          1.51	          1.51	38.84	16.24	           645	         13.81	软件服务	       2000.00	山东	14.55	
300480	光力科技	-9.99	-3.59	1.86	32.34	-8.99	98	0.00	579.58	          6.64	    86.37	          1.68	          1.68	35.93	7.66	           588	         26.31	电器仪表	       2300.00	河南	11.86	
300481	濮阳惠成	-3.04	-0.82	6.67	26.18	-6.30	595	0.00	82.84	          5.20	    36.75	          1.86	          1.86	27.00	13.27	             0	         15.37	化工原料	       2000.00	河南	12.96	
300482	万孚生物	0.82	0.50	10.00	61.60	-5.27	211	160.19	129.36	          8.21	    46.33	          1.97	          1.97	61.10	11.35	           602	         30.53	生物制药	       2200.00	广东	16.73	
300483	沃施股份	-0.49	-0.17	4.98	34.58	-5.18	383	0.00	96.30	          5.55	    67.43	          1.95	          1.95	34.75	31.66	           592	          8.21	专用机械	       1550.00	上海	10.16	
300485	赛升药业	1.63	1.12	8.14	69.80	-3.15	464	0.00	128.65	          4.68	    39.74	          3.85	          3.85	68.68	1.96	           625	         36.24	生物制药	       3000.00	北京	12.67	
300486	东杰智能	-9.97	-2.57	5.12	23.21	-8.42	1238	0.00	-60.52	          4.73	    55.22	          1.71	          1.71	25.78	31.92	           661	         14.19	专用机械	       3472.00	山西	15.09	
300487	蓝晓科技	-0.21	-0.07	7.72	33.35	-4.22	353	0.00	-90.23	          4.06	    46.77	          2.18	          2.18	33.42	16.25	           604	         18.99	化工原料	       2000.00	陕西	13.29	
300488	恒锋工具	-2.75	-1.17	5.74	41.36	-4.77	346	0.00	110.74	          4.60	    40.84	          4.25	          4.25	42.53	15.95	           586	         36.43	机械基件	       1251.00	浙江	10.51	
300489	中飞股份	-9.95	-5.17	4.72	46.78	-6.43	397	0.00	-274.81	          5.07	    66.51	          3.26	          3.26	51.95	39.58	           598	         20.42	铝	       1135.00	黑龙江	14.67	
000033	*ST新都	--  	--  	--  	0.00	--  	0	0.00	0.00	          0.00	--  	         -1.91	         -1.91	--  	145.15	         14309	        -31.19	酒店餐饮	      32940.19	深圳	--  	
600000	浦发银行	-2.87	-0.44	0.26	14.89	-2.80	2148	68900.00	1.32	          0.97	     5.81	          3.48	          3.48	15.33	93.72	         39314	         33.81	银行	    1492277.75	上海	4.24	
600004	白云机场	3.06	0.37	4.87	12.48	-3.39	15	108.95	13.48	          1.60	    11.61	          3.25	          3.25	12.11	22.28	         24289	         22.29	机场	     115000.00	广东	9.83	
600005	武钢股份	-1.10	-0.05	3.97	4.48	-5.08	1780	5650.35	19.99	          1.25	    43.35	          1.17	          1.17	4.53	62.92	         23774	          1.51	普钢	    1009378.00	湖北	12.36	
600006	东风汽车	-9.97	-1.20	3.65	10.84	-8.80	110	21021.99	2215.07	          3.45	    45.97	          1.47	          1.47	12.04	60.35	         12061	          3.02	汽车整车	     200000.00	湖北	13.62	
600007	中国国贸	-9.97	-1.41	1.77	12.73	-9.97	6	825.10	22.60	          2.41	    21.02	          1.93	          1.93	14.14	45.79	         35947	         27.85	园区开发	     100728.25	北京	11.74	
600008	首创股份	0.95	0.09	4.45	9.52	-3.71	184	10487.25	1614.56	          2.83	    54.99	          0.63	          0.63	9.43	71.04	         13780	         11.35	环境保护	     220000.00	北京	10.60	
600009	上海机场	5.89	1.49	7.00	26.77	-3.68	110	30343.43	62.60	          2.70	    19.97	          6.89	          6.89	25.28	19.39	         15103	         41.75	机场	     109347.64	上海	10.68	
600010	包钢股份	4.36	0.18	5.33	4.31	-5.57	10603	1978.68	28.21	          2.92	--  	          0.03	          0.03	4.13	65.26	         21982	         -3.95	普钢	    1574202.38	内蒙	11.86	
600011	华能国际	8.87	0.84	9.61	10.31	-4.12	785	90941.36	6.18	          2.12	     8.21	          2.28	          2.28	9.47	70.96	         59856	         13.87	火力发电	    1050000.00	北京	14.47	
600012	皖通高速	-9.39	-0.96	3.82	9.26	-9.00	24	5424.95	20.95	          2.01	    16.31	          2.88	          2.88	10.22	27.72	         21423	         39.18	路桥	     116560.00	安徽	13.31	
600015	华夏银行	1.59	0.17	1.78	10.87	-2.99	1843	-27500.00	-7.09	          1.05	     6.27	          3.91	          3.91	10.70	94.17	         44984	         32.70	银行	     778522.44	北京	5.79	
600016	民生银行	4.15	0.37	4.49	9.28	-3.48	927	306900.00	4.39	          1.21	     6.32	          2.82	          2.82	8.91	93.30	         46277	         34.82	银行	    2955177.00	北京	8.42	
600017	日照港	0.00	0.00	4.23	6.14	-2.28	211	-30.31	28.60	          1.88	    41.76	          1.13	          1.13	6.14	39.88	         13236	         10.26	港口	     307565.38	山东	9.45	
600018	上港集团	8.64	0.61	8.92	7.67	-6.52	2508	90087.38	38.75	          3.14	    28.69	          0.81	          0.81	7.06	36.06	         52741	         20.97	港口	    2275518.00	上海	17.28	
600019	宝钢股份	5.41	0.32	9.12	6.24	-5.07	758	42472.15	10.93	          0.89	    16.19	          2.43	          2.43	5.92	46.78	         43336	          3.93	普钢	    1642427.88	上海	14.53	
600020	中原高速	-3.54	-0.19	2.61	5.18	-4.10	43	24551.98	10.59	          1.00	     7.33	          1.41	          1.41	5.37	74.48	         17305	         30.14	路桥	     224737.19	河南	8.75	
600021	上海电力	-5.90	-0.91	3.76	14.51	-7.26	109	44449.78	9.92	          3.18	    21.73	          1.30	          1.30	15.42	69.07	         10427	          8.59	火力发电	     213973.92	上海	12.32	
600022	山东钢铁	-4.91	-0.17	4.05	3.29	-4.62	832	206.58	184.03	          1.82	  1858.20	         -0.38	         -0.38	3.46	75.41	         19841	          0.03	普钢	     643629.56	山东	10.69	
600023	浙能电力	6.05	0.48	9.21	8.41	-4.79	170	197767.16	13.93	          2.16	    14.63	          0.88	          0.88	7.93	42.66	          5522	         19.99	火力发电	     255425.77	浙江	14.63	
600026	中海发展	0.00	0.00	--  	11.08	--  	0	6224.56	20.47	          1.78	    74.67	          2.79	          2.79	11.08	61.23	         13726	          5.12	水运	     273603.28	上海	0.00	
600027	华电国际	3.30	0.25	6.20	7.83	-4.35	558	23221.40	4.68	          2.10	     9.84	          1.45	          1.45	7.58	76.62	         22223	         11.46	火力发电	     594005.63	山东	12.40	
600028	中国石化	-3.93	-0.20	-1.18	4.89	-3.73	2056	446100.00	8.78	          0.87	    12.12	          2.08	          2.08	5.09	46.38	        104360	          2.35	石油加工	    9555777.00	北京	4.52	
600029	南方航空	0.74	0.06	4.68	8.18	-4.56	10446	44000.00	7.15	          2.08	    11.53	          1.33	          1.33	8.12	73.90	         25261	          6.53	空运	     702265.00	广东	11.08	
600030	中信证券	-2.11	-0.32	-0.26	14.87	-3.75	2573	865551.81	1.33	          1.38	     7.22	          3.43	          3.43	15.19	82.88	         14050	         40.08	证券	     981466.19	深圳	4.21	
600031	三一重工	-7.56	-0.52	0.29	6.36	-4.36	272	7535.90	174.31	          2.06	    72.34	          1.81	          1.81	6.88	59.56	         12347	          2.44	工程机械	     759370.63	湖南	8.14	
600033	福建高速	-3.32	-0.13	1.79	3.78	-3.84	67	-3744.41	7.92	          1.33	    16.18	          0.97	          0.97	3.91	50.25	         13541	         25.33	路桥	     274440.00	福建	7.16	
600035	楚天高速	-3.61	-0.17	2.55	4.54	-4.25	33	-245.38	19.24	          1.68	    11.72	          1.00	          1.00	4.71	57.74	         22177	         46.99	路桥	     145337.80	湖北	8.49	
600036	招商银行	-0.42	-0.07	1.43	16.77	-2.32	3435	598500.00	1.32	          1.27	     6.41	          6.13	          6.13	16.84	93.62	         48323	         31.67	银行	    2062894.50	深圳	4.63	
600037	歌华有线	0.18	0.03	3.49	16.64	-6.38	24	2824.75	51.33	          2.47	    32.49	          2.26	          2.26	16.61	23.53	         18587	         26.48	影视音像	     116835.20	北京	11.86	
600038	中直股份	-3.13	-1.34	2.90	41.42	-7.16	32	-30.42	-22.24	          3.88	    65.35	          1.82	          1.82	42.76	69.99	         11267	          3.36	航空	      39265.00	黑龙江	11.69	
600039	四川路桥	0.23	0.01	2.71	4.44	-3.16	18	3496.91	12.12	          1.74	    20.65	          0.98	          0.98	4.43	83.99	         14102	          2.99	建筑施工	     301973.28	四川	10.61	
600048	保利地产	-1.05	-0.09	0.47	8.51	-4.42	12671	34821.25	9.29	          1.42	     9.24	          4.16	          4.16	8.60	77.47	         24092	         11.69	全国地产	    1075268.63	广东	5.58	
600050	中国联通	-2.31	-0.15	0.77	6.35	-4.62	11079	-21903.67	3.33	          1.72	    29.20	          1.40	          1.40	6.50	56.95	         23304	          1.59	电信运营	    2119659.75	上海	6.15	
600051	宁波联合	-3.38	-0.29	3.85	8.28	-3.03	370	6297.55	-42.71	          1.22	    11.88	          2.59	          2.59	8.57	71.68	          9208	          7.81	综合类	      30579.19	浙江	8.98	
600052	浙江广厦	-9.49	-0.56	4.41	5.34	-5.59	75	185.80	60.03	          2.46	--  	          0.92	          0.92	5.90	80.36	         16339	        -17.28	区域地产	      87178.90	浙江	14.41	
600053	中江地产	0.00	0.00	--  	13.14	--  	0	3.20	28.18	          6.49	   103.45	          0.49	          0.49	13.14	66.35	         33847	         16.26	区域地产	      43354.07	江西	0.00	
600054	黄山旅游	1.16	0.20	5.35	17.40	-5.52	33	525.25	80.76	          3.54	    34.87	          2.89	          2.89	17.20	31.29	          3266	         18.94	旅游景点	      11762.00	安徽	13.49	
600055	华润万东	-6.26	-1.57	6.10	23.50	-4.27	3	-50.35	-73.27	          7.49	   126.41	          1.24	          1.24	25.07	48.43	         16425	          5.85	医疗保健	      21645.00	北京	13.92	
600056	中国医药	2.80	0.39	4.89	14.31	-5.17	560	240.81	-23.47	          2.79	    19.39	          1.82	          1.82	13.92	61.04	         13262	          3.93	医药商业	      98220.34	北京	14.51	
600057	象屿股份	-4.31	-0.44	4.21	9.78	-7.05	10	17709.01	4.89	          2.56	    28.29	          1.16	          1.16	10.22	82.57	          5687	          0.68	仓储物流	      29016.77	福建	12.13	
600058	五矿发展	0.00	0.00	--  	37.31	--  	0	-216.86	-73.11	          4.84	--  	          2.24	          2.24	37.31	80.92	         19191	         -0.83	商贸代理	     107191.07	北京	0.00	
600059	古越龙山	1.94	0.17	3.42	8.93	-4.11	585	385.01	-54.26	          1.91	    51.61	          1.10	          1.10	8.76	8.79	         13768	          9.85	红黄药酒	      80852.40	浙江	12.10	
600060	海信电器	-0.35	-0.05	2.64	14.32	-5.71	34	926.57	35.15	          1.70	    14.99	          4.56	          4.56	14.37	41.99	         23162	          4.46	家用电器	     130848.13	山东	9.46	
600061	国投安信	-8.56	-1.19	3.31	12.71	-6.33	109	119390.65	1.30	          1.84	     9.42	          0.90	          0.90	13.90	86.72	         10766	        183.88	化纤	      42908.28	上海	13.31	
600062	华润双鹤	2.23	0.45	2.93	20.62	-3.82	1	1314.37	63.42	          1.96	    17.76	          6.95	          6.95	20.17	11.81	         19067	         15.75	化学制药	      57169.58	北京	7.83	
600063	皖维高新	-8.87	-0.43	3.09	4.42	-5.15	118	3448.21	25.47	          1.64	    72.34	          0.09	          0.09	4.85	48.52	         11040	          3.04	化纤	     149785.31	安徽	12.99	
600064	南京高科	1.43	0.24	4.11	17.01	-3.40	316	62373.36	14.17	          1.27	    12.74	          2.78	          2.78	16.77	53.18	         12356	         33.05	园区开发	      77432.82	江苏	8.65	
600066	宇通客车	2.51	0.45	2.90	18.39	-3.23	195	1234.60	21.87	          3.96	    21.52	          2.49	          2.49	17.94	54.67	         23046	          9.11	汽车整车	     189953.14	河南	8.14	
600067	冠城大通	-1.41	-0.10	4.10	6.98	-6.50	330	8350.45	311.71	          1.45	    16.77	          2.46	          2.46	7.08	54.29	         19892	         10.56	全国地产	     148290.45	福建	10.73	
600068	葛洲坝	1.19	0.09	5.15	7.66	-3.83	81	31554.11	-9.90	          1.83	    14.05	          0.97	          0.97	7.57	77.35	          8877	          3.71	建筑施工	     414857.63	湖北	10.04	
600069	*ST银鸽	-4.57	-0.17	0.81	3.55	-4.84	90	0.00	-147.21	          3.66	--  	         -0.69	         -0.69	3.72	84.57	         15178	         -6.33	造纸	      82537.40	河南	5.91	
600070	浙江富润	-2.04	-0.17	4.68	8.17	-6.12	99	905.71	-57.17	          2.60	  5900.22	          0.14	          0.14	8.34	40.18	         14342	          0.06	纺织	      35661.30	浙江	12.59	
600071	*ST光学	-5.00	-0.78	-0.13	14.83	-4.61	3	450.07	-296.29	          7.24	--  	          0.29	          0.29	15.61	45.25	         19944	         -1.62	文教休闲	      23747.25	江西	4.87	
600072	钢构工程	0.00	0.00	--  	25.99	--  	0	169.21	431.01	         11.28	--  	          0.19	          0.19	25.99	46.01	          8588	         -6.59	船舶	      47842.96	上海	0.00	
600073	上海梅林	0.00	0.00	--  	13.49	--  	0	1807.00	60.63	          4.01	    79.57	          0.37	          0.37	13.49	45.37	         13416	          1.65	食品	      82273.52	上海	0.00	
600074	保千里	0.00	0.00	--  	20.92	--  	0	0.00	-630.48	         40.03	   229.47	          0.20	          0.20	20.92	27.11	          8647	         20.78	电脑设备	      89598.13	江苏	0.00	
600075	新疆天业	0.00	0.00	--  	16.00	--  	0	6076.15	342.59	          4.48	   134.02	          1.53	          1.53	16.00	40.22	          9169	          2.51	化工原料	      43859.19	新疆	0.00	
600076	青鸟华光	-7.07	-0.52	4.21	6.84	-5.57	35	15.88	-676.37	         21.87	--  	         -2.25	         -2.25	7.36	70.32	          8518	       -618.07	通信设备	      36553.60	山东	11.82	
600077	宋都股份	-2.32	-0.12	4.26	5.05	-4.84	118	-440.18	27.86	          1.81	   473.05	          1.40	          1.40	5.17	71.89	         31948	          0.52	全国地产	     109096.45	浙江	10.44	
600078	澄星股份	-5.42	-0.33	3.94	5.76	-4.93	526	0.00	118.73	          2.14	    92.40	          0.90	          0.90	6.09	65.14	         11576	          1.59	化工原料	      66257.28	江苏	10.34	
600079	人福医药	2.52	0.39	5.16	15.88	-5.75	30	8186.58	193.46	          2.69	    34.04	          1.77	          1.77	15.49	43.63	         29789	          6.70	化学制药	     103099.32	湖北	11.62	
600080	金花股份	-4.57	-0.36	4.32	7.51	-4.96	136	18.63	175.09	          2.22	    94.71	          1.22	          1.22	7.87	18.28	         11779	          3.02	中成药	      30529.58	陕西	11.05	
600081	东风科技	-10.01	-1.84	3.75	16.55	-10.01	17	4840.62	21.60	          4.97	    21.94	          1.93	          1.93	18.39	65.34	         13601	          5.24	汽车配件	      31356.00	上海	13.76	
600082	海泰发展	-4.00	-0.20	2.60	4.80	-4.00	18	81.26	-35.53	          1.77	   180.53	          0.92	          0.92	5.00	48.85	         11273	          2.30	园区开发	      63237.57	天津	7.40	
600083	博信股份	-5.53	-0.57	4.66	9.73	-5.34	13	0.00	-26.52	         45.22	   114.83	         -1.22	         -1.22	10.30	55.26	         11686	         14.39	元器件	      22692.27	广东	11.65	
600084	中葡股份	-6.75	-0.37	2.19	5.11	-5.29	4	2368.40	-29.44	          2.41	--  	         -1.36	         -1.36	5.48	44.92	         12160	        -30.04	红黄药酒	      80991.92	新疆	9.49	
600085	同仁堂	0.37	0.09	1.33	24.12	-4.20	44	234.48	55.96	          4.96	    33.77	          2.10	          2.10	24.03	29.09	         24263	          8.66	中成药	     137147.03	北京	6.70	
600086	东方金钰	-5.47	-1.74	2.92	30.08	-9.71	96	7900.50	-14.61	          4.99	    25.88	          1.54	          1.54	31.82	67.75	         22818	          6.04	服饰	      35228.17	湖北	12.92	
600088	中视传媒	-9.98	-2.26	1.02	20.39	-8.61	36	0.00	-90.17	          5.86	   111.00	          1.13	          1.13	22.65	16.21	         16560	         13.44	影视音像	      33142.19	上海	10.99	
600089	特变电工	-1.15	-0.13	0.53	11.15	-4.70	7125	1828.56	47.64	          1.81	    16.31	          2.57	          2.57	11.28	65.70	          8819	          5.97	电气设备	     317748.97	新疆	6.12	
600090	啤酒花	-0.10	-0.01	5.40	9.99	-3.70	12	1124.64	13.73	          7.63	    61.28	         -0.84	         -0.84	10.00	43.35	          8122	          4.16	啤酒	      36791.66	新疆	11.10	
600091	*ST明科	-4.98	-0.37	-0.81	7.06	-4.44	136	-2235.60	-64.67	         10.91	--  	         -4.20	         -4.20	7.43	81.86	         16640	      -1154.34	化工原料	      33652.60	内蒙	4.17	
600093	禾嘉股份	-1.79	-0.20	5.99	10.98	-3.40	26	3334.18	-32.00	          2.32	   144.91	          0.12	          0.12	11.18	6.77	         10700	         23.50	汽车配件	      32244.75	四川	13.77	
600094	大名城	-6.67	-0.57	1.64	7.97	-7.61	145	1522.33	-3.36	          2.87	    61.40	          0.43	          0.43	8.54	76.78	         25338	          6.33	区域地产	     131283.69	上海	11.59	
600095	哈高科	-7.80	-0.66	-1.30	7.80	-10.05	40	447.39	99.89	          4.01	--  	          0.05	          0.05	8.46	39.47	          7292	        -10.04	区域地产	      36126.35	黑龙江	8.75	
600096	云天化	-3.79	-0.35	7.47	8.89	-5.84	1	1244.95	2.57	          1.80	   146.29	         -0.03	         -0.03	9.24	89.52	         11099	          0.13	农药化肥	      52126.35	云南	16.13	
600097	开创国际	0.00	0.00	--  	30.24	--  	0	0.00	-67.76	          6.87	   546.20	          1.97	          1.97	30.24	33.57	         15705	          2.01	渔业	      20259.78	上海	0.00	
600098	广州发展	-4.43	-0.42	5.80	9.07	-6.32	195	17980.57	13.15	          1.77	    23.15	          1.73	          1.73	9.49	49.73	         31469	          6.32	火力发电	     272619.66	广东	13.59	
600099	林海股份	0.00	0.00	--  	13.37	--  	0	0.00	-106.87	          6.22	  1008.69	          0.13	          0.13	13.37	19.90	         12661	          0.84	摩托车	      21912.00	江苏	0.00	
600100	同方股份	-1.48	-0.21	4.23	13.99	-6.48	421	144763.50	-21.38	          2.37	    23.51	          1.40	          1.40	14.20	58.64	         13077	          8.35	电脑设备	     207020.14	北京	12.61	
600101	明星电力	0.10	0.01	8.43	9.97	-3.11	80	1483.89	75.86	          1.74	    34.89	          2.96	          2.96	9.96	32.01	          9017	          7.74	水力发电	      32417.90	四川	14.06	
600103	青山纸业	-7.91	-0.40	3.56	4.66	-5.14	74	-44.74	-207.73	          4.23	--  	         -0.10	         -0.10	5.06	63.26	          8540	         -7.33	造纸	     106184.15	福建	12.65	
600104	上汽集团	2.75	0.48	2.87	17.92	-3.67	11430	1508279.75	16.81	          1.24	     6.97	          6.87	          6.87	17.44	59.73	         48716	          4.43	汽车整车	    1102556.63	上海	7.68	
600105	永鼎股份	0.99	0.12	7.73	12.28	-7.40	13	3769.43	-73.35	          2.73	    38.84	          1.22	          1.22	12.16	30.92	         11096	         11.27	通信设备	      38095.46	江苏	17.27	
600106	重庆路桥	0.00	0.00	--  	10.54	--  	0	11853.07	48.98	          3.01	    32.33	          1.37	          1.37	10.54	58.18	         15764	         92.48	路桥	      90774.20	重庆	0.00	
600107	美尔雅	0.00	0.00	--  	14.38	--  	0	824.37	105.85	          9.84	  1259.26	         -0.05	         -0.05	14.38	56.79	          9298	          0.83	服饰	      36000.00	湖北	0.00	
600108	亚盛集团	-0.59	-0.04	3.25	6.73	-7.24	1891	7076.62	85.13	          2.78	    75.26	          0.88	          0.88	6.77	35.14	         10504	          9.77	农业综合	     194691.52	甘肃	11.67	
600109	国金证券	-5.25	-0.67	0.16	12.09	-5.17	1922	47386.43	1.53	          2.34	    14.82	          1.08	          1.08	12.76	78.07	         16562	         37.34	证券	     283685.94	四川	7.99	
600110	中科英华	0.00	0.00	--  	13.73	--  	0	21777.99	70.44	          8.70	   221.16	         -0.15	         -0.15	13.73	72.50	         12082	          4.06	电气设备	     115031.21	吉林	0.00	
600111	北方稀土	0.61	0.08	2.98	13.15	-4.36	1426	638.93	20.92	          5.78	    91.64	          0.93	          0.93	13.07	34.41	          6571	          8.08	小金属	     221920.48	内蒙	8.03	
600112	天成控股	-0.47	-0.06	4.72	12.65	-9.99	15	2607.70	108.27	          5.08	   941.70	          0.68	          0.68	12.71	54.05	         11031	          1.21	电气设备	      50920.48	贵州	14.71	
600113	浙江东日	-5.91	-0.47	3.02	7.48	-4.40	188	953.44	44.09	          3.98	   104.37	          0.40	          0.40	7.95	45.95	         12423	          9.80	区域地产	      31860.00	浙江	12.33	
600114	东睦股份	-0.54	-0.06	7.44	11.10	-5.20	110	293.33	40.07	          2.92	    25.44	          0.67	          0.67	11.16	27.09	         10891	         12.39	机械基件	      23948.25	浙江	13.26	
600115	东方航空	4.33	0.34	7.90	8.19	-4.33	851	11300.00	10.14	          3.32	    14.56	          0.32	          0.32	7.85	82.25	         27541	          8.04	空运	     778221.38	上海	13.50	
600116	三峡水利	-2.62	-0.32	3.11	11.88	-4.26	45	737.17	99.94	          1.87	    17.72	          1.25	          1.25	12.20	51.53	          7391	         22.31	水力发电	      26753.32	重庆	8.69	
600117	西宁特钢	-6.26	-0.31	3.03	4.64	-7.07	30	240.00	-25.41	          1.40	--  	          1.50	          1.50	4.95	86.53	         11326	         -9.94	特钢	      74121.92	青海	10.91	
600118	中国卫星	-9.99	-4.03	1.49	36.31	-8.25	10	104.95	-103.40	          9.80	   128.02	          1.27	          1.27	40.34	48.41	          8608	          8.36	航空	     118248.90	北京	11.48	
600119	长江投资	-1.97	-0.27	6.58	13.41	-6.43	100	-312.25	47.09	          5.38	    85.34	          0.36	          0.36	13.68	55.09	         10302	          2.11	仓储物流	      30740.00	上海	15.06	
600120	浙江东方	-3.22	-0.58	3.00	17.44	-8.44	53	46756.78	102.74	          1.64	    14.82	          4.43	          4.43	18.02	48.97	         18960	          9.23	商贸代理	      50547.33	浙江	12.71	
600121	郑州煤电	-4.75	-0.25	1.90	5.01	-4.75	110	29607.15	-6.56	          1.29	--  	          1.35	          1.35	5.26	53.13	         11207	         -2.53	煤炭开采	      69834.40	河南	8.75	
600122	宏图高科	-2.71	-0.24	2.37	8.63	-8.34	293	21137.39	24.98	          1.25	    19.00	          1.74	          1.74	8.87	52.39	         13694	          3.14	其他商业	     114027.34	江苏	10.82	
600123	兰花科创	-3.33	-0.24	0.83	6.97	-4.30	46	4646.05	31.46	          0.82	    50.18	          5.46	          5.46	7.21	53.59	         12060	          3.27	煤炭开采	     114240.00	山西	9.29	
600125	铁龙物流	-0.60	-0.05	3.39	8.22	-6.89	4	713.92	41.03	          2.27	    34.19	          2.15	          2.15	8.27	27.96	         15454	          4.62	铁路	     130552.18	辽宁	11.73	
600126	杭钢股份	-8.96	-0.58	3.40	5.89	-7.26	26	-16.88	13.56	          1.64	--  	          1.08	          1.08	6.47	47.64	         22771	         -5.45	普钢	      83893.88	浙江	12.67	
600127	金健米业	-6.89	-0.41	3.87	5.54	-6.22	50	19.66	-54.60	          4.33	--  	         -0.47	         -0.47	5.95	42.17	          5484	         -9.63	农业综合	      54445.96	湖南	11.43	
600128	弘业股份	-4.36	-0.46	4.17	10.08	-5.31	156	3591.40	22.73	          1.65	    57.99	          1.53	          1.53	10.54	47.28	         10374	          1.11	商贸代理	      24676.75	江苏	10.44	
600129	太极集团	-7.64	-1.19	4.62	14.39	-7.57	148	43422.21	312.82	          4.52	    17.06	         -0.68	         -0.68	15.58	83.43	         19266	          4.68	中成药	      42689.39	重庆	12.97	
600130	波导股份	-8.67	-0.52	2.67	5.48	-5.83	246	1000.75	62.53	          4.58	   101.99	         -0.48	         -0.48	6.00	25.03	         10885	          2.72	通信设备	      76800.00	浙江	12.33	
600131	岷江水电	-3.82	-0.26	4.41	6.55	-7.34	13	6613.71	57.96	          3.85	    21.49	          0.35	          0.35	6.81	63.44	          7696	         17.69	水力发电	      39736.69	四川	11.89	
600132	重庆啤酒	-1.46	-0.19	3.30	12.83	-3.99	18	2057.36	14.92	          4.92	    37.74	          1.18	          1.18	13.02	66.19	         10305	          4.89	啤酒	      48397.12	重庆	8.37	
600133	东湖高新	-10.03	-1.00	3.31	8.97	-9.93	154	493.50	34.98	          3.72	   228.82	          0.26	          0.26	9.97	88.31	          7929	          0.58	园区开发	      53794.89	湖北	13.34	
600135	乐凯胶片	-9.97	-1.45	-1.10	13.09	-9.22	1	236.38	-96.48	          3.08	   249.50	          0.46	          0.46	14.54	7.56	         16761	          1.96	化工原料	      34200.00	河北	8.87	
600136	道博股份	-10.01	-2.52	3.18	22.66	-10.01	3	4.92	-128.77	          4.44	    83.65	          0.27	          0.27	25.18	27.20	         14336	         21.21	商贸代理	      10429.40	湖北	13.19	
600137	浪莎股份	-10.00	-2.33	1.16	20.96	-10.00	12	0.00	-74.48	          4.41	   970.32	          0.13	          0.13	23.29	16.77	         11489	          1.49	服饰	       9721.75	四川	11.16	
600138	中青旅	3.36	0.60	4.59	18.45	-4.76	36	-256.35	384.60	          2.91	    40.33	          2.80	          2.80	17.85	35.33	         15531	          3.47	旅游服务	      70271.82	北京	10.76	
600139	西部资源	0.00	0.00	--  	22.12	--  	0	9118.82	249.53	         11.23	   972.14	          0.24	          0.24	22.12	65.01	         18897	          1.26	铜	      66189.04	四川	0.00	
600141	兴发集团	0.00	0.00	--  	12.00	--  	0	-10.43	13.93	          1.31	    61.91	          2.31	          2.31	12.00	71.79	         15468	          0.77	化工原料	      43723.10	湖北	0.00	
