代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000333	美的集团	-0.28	-0.08	0.49	28.75	-3.40	50239	118120.47	13.91	          2.67	     7.37	          6.07	          6.07	28.83	63.01	         25820	         10.09	家用电器	     223937.06	广东	5.72	
000338	潍柴动力	4.82	0.46	6.18	10.00	-5.03	80080	10074.44	26.17	          1.25	    20.63	          6.77	          6.77	9.54	63.94	         12326	          2.66	汽车配件	     209216.98	山东	12.05	
000400	许继电气	-0.11	-0.02	1.67	17.98	-7.89	16697	0.00	-175.67	          3.16	   120.34	          3.51	          3.51	18.00	40.03	         10948	          3.46	电气设备	      73749.88	河南	9.72	
000401	冀东水泥	6.81	0.59	8.31	9.25	-3.81	13043	128858.02	382.42	          1.00	    31.54	          3.34	          3.34	8.66	69.72	         17562	          3.86	水泥	     134708.59	河北	14.67	
000402	金 融 街	1.22	0.11	2.89	9.10	-4.34	59228	3280.03	-37.81	          1.12	    15.84	          4.38	          4.38	8.99	69.03	         19195	         17.46	全国地产	     298699.69	北京	7.90	
000403	ST生化	--  	--  	--  	19.57	--  	0	0.00	78.48	         11.20	    49.87	          0.11	          0.11	19.57	58.85	          8565	         20.95	生物制药	      18176.30	江西	0.00	
000404	华意压缩	-4.25	-0.27	3.15	6.08	-4.57	5791	1612.56	8.90	          1.59	    13.92	          0.84	          0.84	6.35	60.76	          8499	          3.27	专用机械	      39762.16	江西	10.08	
000407	胜利股份	-7.41	-0.44	2.19	5.50	-5.05	5329	785.85	-54.36	          2.39	   124.16	          0.50	          0.50	5.94	54.05	          9523	          1.15	塑料	      64490.39	山东	10.44	
000408	金谷源	-9.97	-1.18	3.04	10.66	-7.09	1788	-222.68	8612.02	         20.46	--  	         -1.13	         -1.13	11.84	74.19	          8355	         -3.92	商贸代理	      25230.06	河北	13.01	
000409	山东地矿	-6.19	-0.42	4.87	6.36	-5.46	3773	486.51	-33.72	          3.05	--  	          0.10	          0.10	6.78	66.22	         15654	        -32.64	普钢	      35758.94	山东	13.57	
000410	沈阳机床	-9.98	-1.83	3.66	16.50	-9.98	3378	-132.36	-10.53	          5.20	--  	          0.37	          0.37	18.33	88.32	          5684	         -8.56	机床制造	      73982.43	辽宁	13.64	
000411	英特集团	-1.16	-0.17	4.84	14.50	-4.91	652	22.62	-11.85	          4.67	    42.86	          1.79	          1.79	14.67	76.70	         24886	          0.46	医药商业	      20363.83	浙江	12.07	
000413	东旭光电	-0.38	-0.03	1.39	7.91	-5.54	42138	-2.80	280.49	          3.19	    24.31	          0.36	          0.36	7.94	56.59	          8810	         29.94	元器件	     201870.59	河北	8.56	
000415	渤海租赁	-1.45	-0.10	2.60	6.82	-7.37	12371	44.40	7.19	          2.35	    19.20	          0.82	          0.82	6.92	85.39	         24214	         14.10	多元金融	     311553.69	新疆	10.12	
000416	民生控股	-10.02	-1.28	-10.02	11.49	-10.02	48	3289.87	-139.09	          7.00	   118.67	          0.54	          0.54	12.77	13.09	         12500	         67.87	百货	      53161.03	山东	0.00	
000417	合肥百货	2.84	0.22	4.90	7.98	-6.31	3996	406.73	-91.69	          1.89	    17.73	          2.09	          2.09	7.76	50.80	         19501	          3.37	百货	      77861.07	安徽	11.47	
000418	小天鹅Ａ	4.64	0.89	4.64	20.09	-1.72	3334	7182.05	9.31	          2.77	    14.75	          3.91	          3.91	19.20	52.22	         15248	          7.06	家用电器	      43774.67	江苏	8.75	
000419	通程控股	-8.61	-0.60	3.87	6.37	-9.90	4175	2302.48	-124.52	          1.84	    20.89	          1.48	          1.48	6.97	48.40	         17465	          3.81	百货	      54329.00	湖南	13.92	
000420	吉林化纤	-0.17	-0.01	3.45	5.79	-3.79	2333	431.57	-154.94	          4.18	   375.85	         -1.24	         -1.24	5.80	58.54	          5082	          1.16	化纤	      31830.68	吉林	8.62	
000421	南京中北	-7.60	-0.65	-2.46	7.90	-9.94	7428	5206.12	11.86	          2.08	    23.07	          1.77	          1.77	8.55	43.80	         10992	          5.25	公共交通	      35166.69	江苏	7.49	
000422	湖北宜化	-5.34	-0.36	2.08	6.38	-4.30	4768	1161.43	2.10	          0.85	   113.93	          3.34	          3.34	6.74	78.79	         13182	          0.29	农药化肥	      87402.95	湖北	8.61	
000423	东阿阿胶	0.07	0.03	0.63	43.19	-3.85	13495	5356.80	-436.57	          4.22	    18.29	          7.44	          7.44	43.16	14.93	          9744	         30.31	中成药	      65371.94	山东	4.94	
000425	徐工机械	-9.70	-1.14	1.96	10.61	-8.60	21672	26428.26	111.57	          1.18	  1552.53	          3.88	          3.88	11.75	55.61	         15271	          0.09	工程机械	     235650.20	江苏	11.91	
000426	兴业矿业	--  	--  	--  	9.74	--  	0	805.21	-573.71	          2.11	   143.77	          0.99	          0.99	9.74	28.08	         15581	          4.04	小金属	      48163.26	内蒙	0.00	
000428	华天酒店	-7.11	-0.45	4.27	5.88	-5.06	2735	23296.53	42.42	          2.67	    46.65	          0.97	          0.97	6.33	79.78	         20303	          8.71	酒店餐饮	      71876.02	湖南	12.32	
000429	粤高速Ａ	-4.00	-0.24	2.50	5.76	-5.00	3636	23167.17	13.98	          1.38	    15.62	          1.15	          1.15	6.00	50.67	          5473	         32.01	路桥	      46865.10	广东	12.33	
000430	张家界	-3.43	-0.32	5.58	9.00	-5.58	2837	0.00	45.32	          5.34	    29.53	          0.31	          0.31	9.32	28.19	          8382	         20.14	旅游景点	      20902.96	湖南	12.23	
000488	晨鸣纸业	5.71	0.37	6.17	6.85	-3.55	16937	4663.26	-5.97	          0.95	    24.00	          2.41	          2.41	6.48	77.50	          9986	          2.84	造纸	     110503.72	山东	11.73	
000498	山东路桥	-5.61	-0.34	2.97	5.72	-5.78	2489	0.00	-13.73	          2.31	    26.88	          1.24	          1.24	6.06	71.44	          5430	          5.04	建筑施工	      35417.01	山东	10.56	
000501	鄂武商Ａ	4.09	0.65	4.53	16.53	-3.65	3289	1324.21	38.19	          2.30	    10.03	          4.27	          4.27	15.88	76.40	         23975	          4.85	百货	      50718.42	湖北	9.76	
