代码,名称,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万)
300485,赛升药业,148,--  ,3000,         20.94亿,         83.76亿,2.69,2664,13,0.0042,20150827,20150626,12000,0,0,182508.98
300486,东杰智能,108,--  ,3472,          8.06亿,         32.23亿,-8.91,2723,21,0.0059,20150826,20150630,13886.08,0,0,100063.34
300487,蓝晓科技,22,--  ,2000,          6.67亿,         26.68亿,0.85,1827,14,0.0072,20150824,20150702,8000,0,0,78522.86
300488,恒锋工具,12,--  ,1251,          5.17亿,         25.85亿,-1.69,1596,11,0.0085,20150821,20150701,6251,0,0,66851.36
300489,中飞股份,129,--  ,1135,          5.31亿,         21.23亿,-8.89,1692,11,0.0093,20150820,20150701,4537.5,0,0,69233.56
000033,*ST新都,0,--  ,32940.19,          0.00亿,          0.00亿,--  ,0,--  ,--  ,20150801,19940103,32940.19,0,0,41683.25
600000,浦发银行,21262,--  ,1492277.75,       2222.00亿,       2777.50亿,-2.67,2875,887,0.0006,20150826,19991110,1865347.13,0,0,460374016
600004,白云机场,31,--  ,115000,        143.52亿,        143.52亿,3.26,1843,95,0.0008,20150818,20030428,115000,0,0,1179102.5
600005,武钢股份,6527,--  ,1009378,        452.20亿,        452.20亿,-0.9,2853,938,0.0009,20150829,19990803,1009378,0,0,9831063
600006,东风汽车,38330,--  ,200000,        216.80亿,        216.80亿,-9.76,2875,382,0.0019,20150829,19990727,200000,0,0,2038952.25
600007,中国国贸,1496,--  ,100728.25,        128.23亿,        128.23亿,-9.77,1990,53,0.0005,20150829,19990312,100728.25,0,0,982988.5
600008,首创股份,853,--  ,220000,        209.44亿,        229.46亿,1.16,2529,220,0.001,20150828,20000427,241030.7,0,0,3346274.25
600009,上海机场,33,--  ,109347.64,        292.72亿,        515.85亿,6.1,2721,165,0.0015,20150828,19980218,192695.84,0,0,2420414
600010,包钢股份,527,--  ,1574202.38,        678.48亿,       1403.37亿,4.56,2873,2026,0.0013,20150828,20010309,3256073.75,0,0,13879502
