,date,price,change,vol,amount,bid
1255,11:22:06,4.52,-0.01,416,188031,ÂôÅÌ
1256,11:22:01,4.53,0.01,2160,978480,ÂòÅÌ
1257,11:21:56,4.52,-0.01,695,314158,ÂôÅÌ
1258,11:21:51,4.53,,680,308474,ÂòÅÌ
1259,11:21:46,4.53,,1495,677253,ÂòÅÌ
1260,11:21:41,4.53,,1279,579405,ÂòÅÌ
1261,11:21:36,4.53,,818,370952,ÂòÅÌ
1262,11:21:26,4.53,,1535,695373,ÂôÅÌ
1263,11:21:26,4.53,0.01,3039,1376685,ÂòÅÌ
1264,11:21:21,4.52,-0.01,756,341784,ÂôÅÌ
1265,11:21:16,4.53,,1989,901361,ÂôÅÌ
1266,11:21:11,4.53,,902,408642,ÂôÅÌ
1267,11:21:01,4.53,,1718,778290,ÂôÅÌ
1268,11:21:01,4.53,,747,338771,ÂôÅÌ
1269,11:20:56,4.53,,1159,525045,ÂôÅÌ
1270,11:20:51,4.53,,851,385593,ÂòÅÌ
1271,11:20:46,4.53,,6002,2719304,ÂòÅÌ
1272,11:20:41,4.53,0.01,3638,1648050,ÂòÅÌ
1273,11:20:36,4.52,-0.01,2485,1123563,ÂôÅÌ
1274,11:20:31,4.53,,1588,719436,ÂòÅÌ
1275,11:20:26,4.53,0.01,840,380954,ÂòÅÌ
1276,11:20:21,4.52,-0.01,1671,755310,ÂôÅÌ
1277,11:20:16,4.53,,2293,1038783,ÂôÅÌ
1278,11:20:11,4.53,,1268,574766,ÂòÅÌ
1279,11:20:06,4.53,,3149,1426551,ÂòÅÌ
1280,11:20:01,4.53,,839,380085,ÂôÅÌ
1281,11:19:56,4.53,,2668,1208966,ÂôÅÌ
1282,11:19:51,4.53,,1925,872079,ÂôÅÌ
1283,11:19:46,4.53,0.01,1702,771042,ÂòÅÌ
1284,11:19:41,4.52,-0.01,1365,617323,ÂôÅÌ
1285,11:19:36,4.53,0.01,4438,2010450,ÂòÅÌ
1286,11:19:26,4.52,,1872,846143,ÂôÅÌ
1287,11:19:21,4.52,,1916,866104,ÂôÅÌ
1288,11:19:16,4.52,-0.01,4743,2143998,ÂôÅÌ
1289,11:19:06,4.53,,2936,1330442,ÂòÅÌ
1290,11:19:01,4.53,,3634,1646310,ÂôÅÌ
1291,11:18:51,4.53,,4697,2128157,ÂòÅÌ
1292,11:18:46,4.53,,10801,4893269,ÂòÅÌ
1293,11:18:41,4.53,-0.01,13184,5972352,ÂôÅÌ
1294,11:18:31,4.54,,3735,1695708,ÂòÅÌ
1295,11:18:26,4.54,0.01,11545,5241847,ÂòÅÌ
1296,11:18:16,4.53,-0.01,2972,1346388,ÂôÅÌ
1297,11:18:11,4.54,0.01,4019,1825007,ÂòÅÌ
1298,11:18:06,4.53,-0.02,9902,4485932,ÂôÅÌ
1299,11:17:56,4.55,0.01,1949,886995,ÂòÅÌ
1300,11:17:51,4.54,,2938,1334251,ÂòÅÌ
1301,11:17:46,4.54,,5892,2675040,ÂòÅÌ
1302,11:17:41,4.54,,8624,3915731,ÂòÅÌ
1303,11:17:36,4.54,,7505,3407687,ÂòÅÌ
1304,11:17:31,4.54,,1117,507172,ÂòÅÌ
1305,11:17:26,4.54,,1309,594631,ÂòÅÌ
1306,11:17:16,4.54,0.02,5066,2300072,ÂòÅÌ
1307,11:17:16,4.52,-0.01,12610,5700117,ÂôÅÌ
1308,11:17:11,4.53,,1958,887010,ÂòÅÌ
1309,11:17:06,4.53,,1256,569402,ÂòÅÌ
1310,11:17:01,4.53,0.01,10691,4843403,ÂòÅÌ
1311,11:16:56,4.52,,1459,659558,ÂôÅÌ
1312,11:16:51,4.52,,4092,1849945,ÂôÅÌ
1313,11:16:46,4.52,,483,218406,ÂôÅÌ
1314,11:16:41,4.52,,2717,1228427,ÂôÅÌ
1315,11:16:36,4.52,,1696,766591,ÂòÅÌ
1316,11:16:31,4.52,0.01,1562,706132,ÂòÅÌ
1317,11:16:26,4.51,-0.01,3623,1633991,ÂôÅÌ
1318,11:16:21,4.52,,1033,467331,ÂòÅÌ
1319,11:16:16,4.52,,1897,857570,ÂòÅÌ
1320,11:16:11,4.52,0.01,1723,778886,ÂòÅÌ
1321,11:16:06,4.51,-0.01,2087,941255,ÂôÅÌ
1322,11:16:01,4.52,0.01,2170,981237,ÂòÅÌ
1323,11:15:56,4.51,-0.01,2756,1243028,ÂôÅÌ
1324,11:15:51,4.52,0.01,2598,1174621,ÂòÅÌ
1325,11:15:46,4.51,,555,250395,ÂôÅÌ
1326,11:15:41,4.51,-0.01,770,347666,ÂôÅÌ
1327,11:15:36,4.52,0.01,1016,459231,ÂòÅÌ
1328,11:15:31,4.51,,1151,519119,ÂôÅÌ
1329,11:15:26,4.51,,4720,2129152,ÂôÅÌ
1330,11:15:21,4.51,-0.01,1232,555632,ÂôÅÌ
1331,11:15:15,4.52,0.01,571,258182,ÂòÅÌ
