代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
000511,烯碳新材,1538.64,7687.06,1607.83,1141.81,1141.81,8156.21,-18296.42,-13044.6,161814,7137,6.36万,0,--  ,--  ,8.91
000513,丽珠集团,37736.95,347.17,44956.9,37250.3,34084.32,301835.94,23385.11,10553.96,14773,16930,90.32万,0,--  ,--  ,53.35
000514,渝 开 发,-9880.92,-106.81,-9908.5,-9615.67,-5709.31,55260.35,-14961.57,-19041.63,55864,15104,9.06万,1.44,0.5,5.6,6.14
000516,国际医学,20232.85,3799.43,20379.98,15721.2,15723.07,86017.06,5980.02,110377.01,75128,9374,12.13万,4.51,-0.46,12.72,13.98
000517,荣安地产,2942.36,-161.5,2975.46,2182.56,2182.56,223624.25,646.03,7770.5,25082,40340,47.32万,2.16,0,11.73,13.03
000518,四环生物,437.03,248.11,540.15,224.6,409.67,-40844.46,-16742.13,-1659.73,178062,5782,2.47万,3.9,-0.46,4.06,4.44
000519,江南红箭,17322.95,424.01,17869.67,14339.77,14388.86,196835.66,-10180.49,-20355.61,37096,12345,22.93万,0,--  ,--  ,18.57
000520,长航凤凰,775.55,-73.12,11108.3,10908.92,10857.67,-298049.19,472.96,1403.25,77148,13119,3.32万,0,--  ,--  ,2.53
000521,美菱电器,16801.45,-548.43,17355.5,15904.27,15836.97,94799.86,34341.09,11375.92,65613,9037,5.38万,2.23,-0.33,5.68,5.98
000523,广州浪奇,1368.91,-454.5,1379.25,1015.21,1355.81,13250.67,-1054.41,14757.36,32961,13500,15.88万,6.32,-0.16,11.62,12.91
000524,岭南控股,2814.84,651.35,2832.45,2354.75,2354.75,113.66,1660.05,-1825.31,19511,13822,19.00万,3.23,-0.29,13.05,14.47
000525,红 太 阳,17673.2,5286.37,20665.77,17714.74,17559.17,124917.13,56073.21,-12261.55,15375,32975,45.87万,1.24,0.5,12.4,13.24
000526,银润投资,365.66,0,364.75,220.28,215.96,-29.87,294.96,6.51,6251,15389,55.40万,12.92,-2.17,35.1,38
000528,柳    工,8787,-1687.05,15457.02,8660.53,8670.32,374342.19,-73608.56,-71208.65,107380,10478,8.38万,2.76,-0.12,7.31,7.81
000529,广弘控股,5212.33,524.2,6256.8,4250.76,4287.56,-9037.87,12316.16,8058.99,42566,13325,18.80万,0,--  ,--  ,14.11
000530,大冷股份,6761.06,4839.3,7037.47,6468.31,6547.76,47424.2,-13058.99,-14521.11,31725,6802,8.64万,2.77,-0.39,12.3,13.32
000531,穗恒运Ａ,36109.01,14777.11,36151.55,30664.86,27682.73,140000.63,8423.67,-28958.9,35918,19073,14.50万,1.71,-0.65,7.33,7.7
000532,力合股份,4062.48,3554.93,4136.96,2823.95,1676.82,24143.01,574.34,5306.98,28365,12090,14.21万,3.99,0,11.75,13.06
000533,万 家 乐,13271.12,3967.38,13811.82,10509.03,8753.37,51557.28,29058.4,-4323.85,66550,10292,6.08万,1.66,-0.16,5.78,6.16
000534,万泽股份,6018.18,46.13,6031.76,3604.9,4002.76,32519.22,725.42,-3992.81,25642,19150,18.10万,0,--  ,--  ,9.45
000536,华映科技,9400,6.92,11579.62,7391.87,3501.23,57883.41,155506.25,-838.99,34957,7176,7.09万,7.66,-1.19,9.88,10.81
000537,广宇发展,19208.52,1272.62,19221.74,15528.38,8868.82,123174.97,-67388.65,11297.78,41197,12445,8.06万,5.06,-0.3,6.4,6.99
000538,云南白药,143861.2,7323.11,146567.77,125190.61,125530.8,947605.19,194174.73,117768.2,42482,24513,174.97万,1.17,0.07,66,71.55
000539,粤电力Ａ,295638.94,51997.05,297652.5,239813.63,172099.5,592259.69,570218.06,198242.31,106697,23936,19.36万,3.95,0.24,6.85,7.35
000540,中天城投,158461.19,16.54,158780.42,142647,142899.13,308191.66,-350680.88,-63781.57,272808,11780,8.65万,0,--  ,--  ,7.34
000541,佛山照明,13644.07,2070.9,12444.92,9651.55,10025.87,66278.52,9927.42,-11554.8,99244,9824,11.37万,0,--  ,--  ,11.57
000543,皖能电力,146524.13,23098.13,150275.72,121588.75,71360.84,273472.03,172310.92,63635.48,55359,18518,23.06万,3.48,-0.63,11.5,12.47
