代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量
300022,吉峰农机,-33.04,102.03,1.45,1.63,28.84,-34,952.74,134131408,0.83,其他商业,四川,10.55,6.51,108200,97977,1.1,143
300023,宝德股份,54.45,38.58,18.38,37.12,2.66,-3.9,175.79,54608084,0.65,专用机械,陕西,12.61,21.19,13496,12270,1.1,10
300024,机器人,23.23,21.54,20.74,41.88,16.26,-164.02,107.73,1320950912,0.81,专用机械,辽宁,11.83,50.94,142073,117256,1.21,17270
300025,华星创业,28.46,5.72,7.49,5.98,3.51,-25.33,48.38,121366784,0.78,通信设备,浙江,14.98,13.08,51060,41720,1.22,37
300026,红日药业,16.99,12.37,19.68,9.86,4.13,643.36,29.05,397388896,1.78,中成药,天津,11.07,15.78,134731,117096,1.15,49
300027,华谊兄弟,167.26,35.41,53.42,42.5,8.3,-836.81,54.53,0,0,影视音像,浙江,0,39.58,0,0,--  ,0
300028,金亚科技,-52.1,-6057.54,-82.23,113.94,57.08,42,--  ,0,0,通信设备,四川,0,34.51,0,0,--  ,0
300029,天龙光电,34.79,58.18,-51.46,19.01,2.8,-12.57,--  ,107419400,0.95,半导体,江苏,13.34,8.45,60307,66785,0.9,0
300030,阳普医疗,18.36,-6.7,9.08,24.07,7.54,-64.76,157.07,0,0,医疗保健,广东,0,18.82,0,0,--  ,0
300031,宝通科技,0.87,-2.72,19.33,28.71,7.93,91.51,87.15,0,0,橡胶,江苏,0,22.82,0,0,--  ,0
300032,金龙机电,365.81,4483.08,16.54,11.8,7.73,100.11,38.44,529717984,1.02,元器件,浙江,12.74,23.54,80418,144650,0.56,0
300033,同花顺,283.62,1665.71,62.55,51.38,14.96,35.14,46.46,435831072,0.99,软件服务,浙江,15.49,37.63,60342,55478,1.09,64
300034,钢研高纳,8.15,5.5,17.04,19.13,4.91,-353.79,64.66,143462832,0.69,小金属,北京,13.38,17.76,43087,37672,1.14,67
300035,中科电气,-15.36,6.29,17.52,19.89,2.13,111.88,54.63,64950520,0.72,工程机械,湖南,9.5,7.92,43290,38769,1.12,10
300036,超图软件,27.11,142.64,-3.15,24.71,6.05,-51.12,509.26,222248448,0.85,软件服务,北京,14.99,21.01,51670,54117,0.95,234
300037,新宙邦,9.1,-39.16,12.44,10.5,2.2,134.07,50.57,67870736,0.76,化工原料,深圳,13.33,23.17,14991,14298,1.05,10
300038,梅泰诺,27.01,46.55,7.98,10,2.55,203.57,71.15,163426432,0.84,通信设备,北京,14.33,19.12,42733,42750,1,0
300039,上海凯宝,1.45,2.81,24.71,11.29,5.08,101.26,26.3,311486592,0.92,中成药,上海,11.91,11.67,145927,120982,1.21,144
300040,九洲电气,-8.87,-376.79,-36.72,29.73,1.81,-87.29,--  ,69150816,0.91,电气设备,黑龙江,10.61,7.75,57514,31742,1.81,5
300041,回天新材,20.31,-13.88,9.67,5.72,2.6,-65.69,29.33,115890432,0.8,化工原料,湖北,14.51,17.15,39461,28114,1.4,2
300042,朗科科技,141.09,-23.6,5.35,19.18,4.27,191.11,178.45,91317152,0.77,电脑设备,深圳,15.27,26.71,19230,14952,1.29,523
300043,互动娱乐,-38.64,141.44,28.25,19.05,7.37,-165.11,39.48,371133280,1.24,文教休闲,广东,14.16,10.71,187415,159205,1.18,7619
300044,赛为智能,-12.14,-55.21,4.06,17.32,4.93,-52.16,165.08,215084720,1.02,软件服务,深圳,15.43,15.16,73262,68624,1.07,447
300045,华力创通,14.8,47.57,2.11,36.24,7.96,-72.93,320.25,169085840,0.98,电脑设备,北京,13.13,12.4,74044,62288,1.19,0
300046,台基股份,-23.91,-33.02,19.08,22.28,2.49,106.13,61.55,69352368,0.85,半导体,湖北,18.68,14.27,25152,23458,1.07,205
300047,天源迪科,38.26,-181.07,-3.11,6.3,2.67,-779.08,--  ,199640784,0.94,软件服务,深圳,15.21,10.68,93121,93726,0.99,124
300048,合康变频,17.45,42.14,7.42,20.68,4.72,-497.96,162.68,0,0,电气设备,北京,0,21.29,0,0,--  ,0
300049,福瑞股份,8.6,131.31,18.55,17.67,4.02,59.43,70.48,217340496,0.95,中成药,内蒙,17.26,19.95,59598,49335,1.21,39
300050,世纪鼎利,70.34,154.97,11.2,12.32,1.97,-295.23,46.9,107646768,0.95,软件服务,广东,14.07,16.24,33992,32303,1.05,8
300051,三五互联,-19,-209.56,-7.76,38.48,8.48,-250.66,--  ,440528288,2.61,互联网,福建,12.53,13.29,114300,217227,0.53,0
300052,中青宝,-24.7,-30.62,1.54,37.03,6.12,-10687.59,215.82,0,0,互联网,深圳,0,22,0,0,--  ,0
300053,欧比特,134.61,132.57,17.85,27.34,3.81,-771.51,80.96,402590048,1.13,半导体,广东,15.32,21.05,99060,92218,1.07,0
300054,鼎龙股份,14.21,16.39,19.83,10.72,4.32,90.46,36.41,119328264,0.59,化工原料,湖北,13.04,12.63,45411,49080,0.93,50
300055,万邦达,166.68,185.15,21.73,12.25,3.94,-604.8,32.26,438294784,0.99,环境保护,北京,15.22,14.81,143789,152110,0.95,513
300056,三维丝,99.01,110.22,9.59,21.64,10.83,-279.14,122.36,0,0,专用机械,福建,0,46.55,0,0,--  ,0
300057,万顺股份,7.99,-26.62,5.62,3.97,1.86,29.52,46.17,133139376,0.92,广告包装,广东,10.71,10.19,70021,60647,1.15,3324
300058,蓝色光标,31.37,-71.45,3.98,8,6.25,279.19,160.31,0,0,广告包装,北京,0,14.3,0,0,--  ,0
300059,东方财富,684.39,3070.31,77.63,35.87,19.39,18.65,27.03,3778698752,0.97,互联网,上海,15.26,32.72,610488,544270,1.12,39245
300061,康耐特,3.82,18.02,6.33,6.51,5.13,132.16,49.09,41547700,0.65,医疗保健,上海,14.76,8.83,24125,22942,1.05,751
300062,中能电气,-1.38,-2.47,8.76,9.7,2.64,70.87,59.16,0,0,电气设备,福建,0,13.12,0,0,--  ,0
300063,天龙集团,9.9,-34.73,1.1,11.52,8.1,162.38,1800.81,71288496,0.63,染料涂料,广东,19.19,27.43,14319,11667,1.23,30
300064,豫金刚石,45.31,49.15,17.15,14.38,3.04,67.09,56.65,0,0,矿物制品,河南,0,8.53,0,0,--  ,0
300065,海兰信,-23.8,126.82,3.24,24.7,5.51,-143.11,129.2,154512192,0.82,软件服务,北京,13.78,16.62,49875,43078,1.16,0
300066,三川股份,4.6,20.14,18.36,11.69,3.02,92.68,29.35,56970140,0.85,电器仪表,江西,10.36,8.58,34784,31642,1.1,5
300067,安诺其,2.66,57.78,22.14,9.31,4.25,-134.2,25.98,93461568,0.65,染料涂料,上海,15.63,7.93,60061,57726,1.04,479
300068,南都电源,18.65,5.65,4.43,2.94,2.09,-20.39,37.46,266334624,0.83,电气设备,浙江,14.37,10.36,131676,125390,1.05,299
300069,金利华电,0.6,-56.7,5.48,17.4,3.82,-177.42,131.5,51896620,0.57,电气设备,浙江,14.64,16.96,15851,14746,1.07,15
300070,碧水源,5.99,12.78,19.48,51.09,7.52,-67.55,175.64,810226752,1.28,环境保护,北京,11.29,43.01,125203,63162,1.98,47819
300071,华谊嘉信,41.9,187.68,6.95,10.28,8.13,-113.15,88.79,0,0,广告包装,北京,0,13.66,0,0,--  ,0
300072,三聚环保,123.25,121.25,21.03,9.69,9.33,-76.23,26.62,500156000,0.79,化工原料,北京,9.87,31.47,84214,74738,1.13,46
300073,当升科技,14.28,-49.81,-0.66,7.27,3.03,155.8,1295.45,66256036,0.86,矿物制品,北京,13.71,16.4,21846,18547,1.18,10
300074,华平股份,-28.53,-140.64,-35.16,42.75,4.07,-148.51,--  ,253983584,0.97,通信设备,上海,16.24,7.97,160431,158095,1.01,1796
300075,数字政通,5.02,31.97,14.63,35.02,5.57,-171.27,91.92,260615888,1,软件服务,北京,15.26,17.84,74613,71488,1.04,255
300076,GQY视讯,-30.85,-61.42,8.02,32.33,2.95,1516.4,239.55,0,0,电脑设备,浙江,0,14.85,0,0,--  ,0
300077,国民技术,4.45,464.66,7.77,27.27,2.17,-362.75,104.88,468470368,0.93,半导体,深圳,14.22,22.8,107350,98112,1.09,42
300078,中瑞思创,41.39,4.34,17.58,25.46,6.34,173.21,85.84,130196984,0.75,元器件,浙江,12.84,45.5,14144,14471,0.98,554
300079,数码视讯,69.66,21.88,16.21,23.41,3.01,-130.79,40.73,938445120,1.59,通信设备,北京,16.35,13.38,471696,229610,2.05,751
300080,新大新材,-21.43,-143.35,-3.97,5.07,1.19,-39.46,--  ,338141760,1.36,其他建材,河南,11.46,7.7,193984,245356,0.79,0
300081,恒信移动,-25.28,117.68,-1.27,10.38,3.4,199300,365.08,162840864,0.65,通信设备,河北,19.07,20.56,40394,38800,1.04,171
300082,奥克股份,-7.35,-84.05,0.6,2.83,1.33,19.06,193.84,39131692,0.79,化工原料,辽宁,10.67,5.7,30797,37877,0.81,30
300083,劲胜精密,-22.15,-814.71,-12.09,3.01,2.21,-19.28,--  ,66378324,0.63,元器件,广东,10.69,19.27,21673,12773,1.7,3789
300084,海默科技,83.15,12.22,5.71,13.07,2.42,39.71,139.39,174076192,1.77,石油开采,甘肃,11.51,8.02,88083,128840,0.68,527
300085,银之杰,380.39,283.55,7.35,60.96,16.29,-320.84,654.55,599770304,0.97,软件服务,深圳,15.96,26.85,99905,123494,0.81,0
300086,康芝药业,-21.74,-16.52,17.53,28.06,2.2,131.95,103.45,219371760,0.89,化学制药,海南,14.46,13.21,86911,79118,1.1,130
300087,荃银高科,6.25,3.62,-0.29,27.38,8.34,-760.32,--  ,0,0,种植业,安徽,0,14.98,0,0,--  ,0
300088,长信科技,165.28,-10.55,6.19,4.66,2.4,49.38,40.35,391925536,0.91,元器件,安徽,12.05,14.24,145497,129668,1.12,2017
300089,长城集团,3.96,11.27,4.55,28.46,7.91,-152.61,341.99,0,0,陶瓷,广东,0,41.98,0,0,--  ,0
300090,盛运环保,44.5,19.03,17.34,10.75,3.85,-56.89,33.12,316046112,1.08,专用机械,安徽,15.27,16.12,87252,108841,0.8,46
300091,金通灵,20.37,233.81,5.46,7.92,4.23,-338,84.18,131966392,0.58,机械基件,江苏,14.69,17.58,48575,26481,1.83,62
300092,科新机电,-22.47,177.41,-4.08,12.95,3.48,-456.73,219.33,32004620,0.8,专用机械,四川,12.46,8.13,19042,20304,0.94,225
300093,金刚玻璃,-9.1,-27.11,3.9,30.14,6.34,120.06,345.97,0,0,玻璃,广东,0,25.85,0,0,--  ,0
300094,国联水产,-20.11,-302.81,-5.28,13.26,6.57,145.26,--  ,0,0,渔业,广东,0,31.14,0,0,--  ,0
300095,华伍股份,-17.87,69.92,11.49,7.35,2.64,806.99,34.35,50204632,0.8,机械基件,江西,12.59,7.17,34990,35016,1,584
300096,易联众,11.74,-32.04,4.59,95.86,24.3,-220.13,743.78,0,0,软件服务,福建,0,39.55,0,0,--  ,0
300097,智云股份,-11.68,-58.04,9.72,28.67,6.12,-96.38,182.33,103299104,0.75,电器仪表,辽宁,15.63,24.34,21814,20624,1.06,49
300098,高新兴,51.3,21.31,12.01,14.47,5.39,-34.14,63.58,160720144,1.08,通信设备,广东,14.93,17.71,40033,50725,0.79,10
300099,尤洛卡,-59.81,-125.47,-19.43,149.71,7.1,1808.21,--  ,0,0,电器仪表,山东,0,26.45,0,0,--  ,0
300100,双林股份,68.82,85.68,10.93,3.86,2.38,36.17,19.71,48121956,0.76,汽车服务,浙江,11.21,12.13,21144,18527,1.14,321
300101,振芯科技,37.91,265.43,24.56,40.69,12.38,-58.7,118.13,355896288,0.74,通信设备,四川,13.66,36.28,46517,51580,0.9,0
300102,乾照光电,11.24,-48.33,10.8,15.87,1.95,306.05,72.1,69626920,1.02,半导体,福建,13.99,5.99,64367,51779,1.24,192
300103,达刚路机,-53.58,-25.9,23.95,24.87,3.12,1350.04,55.69,67752280,0.82,工程机械,陕西,12.84,12.61,28254,25469,1.11,230
300104,乐视网,51.79,67.7,1.64,12.88,16.81,123.54,112.78,2475529984,0.98,互联网,北京,14.65,32.1,388482,382798,1.01,7393
300105,龙源技术,-44.2,-158.35,-10.67,11.04,1.84,-387.73,--  ,107968496,0.7,电器仪表,山东,13.25,7.7,75575,64574,1.17,324
300106,西部牧业,9.01,-11.45,4.2,4.78,2.71,75.85,49.05,57179220,0.75,农业综合,新疆,12.23,11.27,26069,24660,1.06,201
300107,建新股份,-14.7,-65.65,5.63,12.92,3.09,90.51,125.03,32691148,0.66,化工原料,河北,9.77,5.12,31937,31968,1,2362
