代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量
002120,新海股份,5.96,-60.44,9.76,3.99,3.23,31.4,38.62,50326264,0.7,家居用品,浙江,12.54,12.29,21142,19804,1.07,24
002121,科陆电子,34.83,20.68,5.82,8.36,3.55,-24.81,56.91,0,0,电器仪表,深圳,0,16.33,0,0,--  ,0
002122,天马股份,3.03,59.91,1.34,6.71,1.54,75.2,112.1,79174432,0.65,机械基件,浙江,10.24,6.31,63615,61911,1.03,423
002123,荣信股份,44.87,134.76,-1.9,8.35,3.45,-113.29,118.81,309740448,0.93,电气设备,辽宁,16.52,13.13,117002,118832,0.98,12
002124,天邦股份,-19.12,28.31,-2.03,3.58,6.79,48.3,--  ,144042624,1.61,饲料,浙江,12.6,18.13,27658,51786,0.53,120
002125,湘潭电化,-0.51,-70.9,0.55,6.96,5.32,91.84,774.2,96357640,0.77,化工原料,湖南,10.96,13.98,40094,28826,1.39,188
002126,银轮股份,18.31,27.79,9.1,2.94,2.19,121.09,20.02,83637824,0.66,汽车配件,浙江,10.11,11.89,35712,34654,1.03,828
002127,新民科技,-82.2,103.4,1.38,28.8,12.44,301.8,453.93,0,0,纺织,江苏,0,12.51,0,0,--  ,0
002128,露天煤业,-9.47,19.24,17.29,6.02,1.81,37.06,19.99,138734976,1.42,煤炭开采,内蒙,14.15,9.11,85971,66372,1.3,60
002129,中环股份,5.49,33.19,2.79,9.8,3.73,208.55,132.45,468198400,0.62,半导体,天津,11.7,11.25,195849,220486,0.89,0
002130,沃尔核材,1.12,820.99,52.3,11.13,4.57,-1752.84,10.89,656587264,1.08,电气设备,深圳,14.82,14.37,234905,222166,1.06,2150
002131,利欧股份,58.48,23.67,8.35,6.88,6.3,74.18,43.46,440984448,0.77,农用机械,浙江,15.05,11.89,175747,195195,0.9,0
002132,恒星科技,-2.2,21.57,2.52,4.32,1.98,41.72,68.86,78752800,0.78,钢加工,河南,11.34,5.19,74153,77496,0.96,756
002133,广宇集团,122.88,-118.81,-0.53,7.87,1.65,8.2,--  ,293812608,0.8,全国地产,浙江,10,6.18,252666,222747,1.13,0
002134,天津普林,-20.23,-235.68,-10.02,8.93,3.27,315.85,--  ,36224420,0.6,元器件,天津,10.29,7.51,24804,23441,1.06,5
002135,东南网架,13.53,-13.56,2.42,2.49,2.81,-67.31,67.54,126009944,0.56,建筑施工,浙江,12.9,7.43,81271,88428,0.92,1545
002136,安 纳 达,-12.86,-24.5,-7.91,7.81,4.46,562.59,--  ,195094240,1.86,化工原料,安徽,8.98,11.76,94989,70914,1.34,46
002137,实 益 达,-2.2,-31.36,0.5,27.48,10.53,68.94,1507.76,0,0,元器件,深圳,0,11.5,0,0,--  ,0
002138,顺络电子,5.75,12.73,20.14,12.07,3.09,45.15,29.49,216402688,0.78,元器件,深圳,16.31,9.73,112485,110017,1.02,50
002139,拓邦股份,23.5,59.78,6.06,5.23,3.66,302.66,43.79,186268256,0.79,元器件,深圳,13.76,14.09,67887,64281,1.06,18
002140,东华科技,5.55,-16.08,9.55,7.25,3.86,-44.26,44.72,79738312,0.91,建筑施工,安徽,11.64,15.48,27721,23777,1.17,275
002141,蓉胜超微,-10.93,-647.19,-0.87,6.25,8.78,113.41,--  ,62212640,0.82,元器件,广东,8.11,14.36,17535,25777,0.68,50
002142,宁波银行,23.49,15.09,49.27,5.32,1.26,1.25,6.74,1260386816,1.05,银行,浙江,7.49,12.22,593236,437867,1.35,157423
002143,印纪传媒,-31.25,16.37,27.01,33.94,23.06,206.86,65.48,125044440,1.3,影视音像,四川,15.55,24.22,30406,21220,1.43,182
002144,宏达高科,6.13,58.63,53.15,11.99,1.7,-234.32,12.98,116008672,0.68,纺织,浙江,11.12,17.88,33371,31524,1.06,38
002145,中核钛白,11.14,68.24,3.58,4.42,2.29,-27.98,99.48,142042144,0.73,化工原料,甘肃,12.72,9.13,71088,84509,0.84,11
002146,荣盛发展,-10.02,-24.84,14.62,3.69,2.35,-21.6,16.27,751107904,1.42,全国地产,河北,10.05,8.67,491677,375053,1.31,117446
002147,方圆支承,-45.2,-560.06,-18.7,40.7,5.72,-277.97,--  ,0,0,机械基件,安徽,0,17.9,0,0,--  ,0
002148,北纬通信,-20.84,-118.18,-10.45,28.77,2.69,-185.58,--  ,125979840,0.89,互联网,北京,14.29,11.01,53580,60811,0.88,544
002149,西部材料,-17.16,-2916.77,-10.13,4.2,2.83,42.08,--  ,49193136,0.76,小金属,陕西,19.33,13.97,18499,16722,1.11,54
002150,通润装备,-1.57,5.32,9.12,4.78,3.76,106.96,36.11,31225804,1.04,机械基件,江苏,13.29,8.28,17628,20101,0.88,241
002151,北斗星通,-11.19,-224.05,-11.6,50.24,14.08,-126.27,--  ,0,0,通信设备,北京,0,54.26,0,0,--  ,0
002152,广电运通,23.15,6.18,22.36,15.28,5.24,-29.35,30.01,285856512,0.88,电脑设备,广东,15.7,23.57,60172,61084,0.99,45
002153,石基信息,-12.52,2.34,17.56,32.84,14.7,752.64,85.78,249997488,1.18,软件服务,北京,14.69,93.29,17275,9522,1.81,13470
002154,报 喜 鸟,0.56,12.08,8.81,6.31,2.29,1744.56,42.16,190938768,0.67,服饰,浙江,12.43,5.56,177470,165642,1.07,1683
002155,湖南黄金,6.59,-75.82,-0.07,3.01,2.61,39.54,268.56,224292096,1.03,黄金,湖南,7.86,7.58,170878,125007,1.37,65
002156,通富微电,13.42,70.24,3.55,11.78,3.54,134.47,77.73,0,0,半导体,江苏,0,17.48,0,0,--  ,0
002157,正邦科技,10.3,104.4,-0.44,1,4.13,31.44,651.32,141831248,0.93,饲料,江西,13.45,14.45,45341,52790,0.86,604
002158,汉钟精机,-11.37,-9.91,20.28,9.84,2.34,58.18,26.66,37992592,0.64,工程机械,上海,9.55,14.23,14594,12102,1.21,165
002159,三特索道,11.55,-7.22,-9.74,15.82,3.07,-290.9,--  ,57964184,0.48,旅游景点,湖北,12.65,20.52,13731,14519,0.95,12
002160,常铝股份,17.48,454.18,3.92,3.84,2.11,24.34,50.37,61532768,0.76,铝,江苏,13.22,7.77,36881,42281,0.87,456
002161,远 望 谷,-25.56,158.53,-0.56,34.53,4.65,-399.23,817.44,452248288,1.07,通信设备,深圳,11.43,9.39,229465,252216,0.91,0
002162,斯米克,-27.78,-383.09,-2.5,16.73,6.16,847.62,--  ,129987336,0.9,陶瓷,上海,13.74,7.69,83352,85624,0.97,35
002163,中航三鑫,7.51,0.13,-8.99,2.94,6.88,-29.05,--  ,207373664,0.7,装修装饰,深圳,13.8,7.93,135262,126357,1.07,0
002164,宁波东力,-9.75,-11.84,-6.55,11.62,2.36,-297.7,--  ,133248312,0.82,电气设备,浙江,12.48,5.9,123548,102390,1.21,529
002165,红 宝 丽,-10.05,11.62,8.36,3.33,3.17,72,26.26,55026336,0.64,化工原料,江苏,12.48,6.09,44614,45681,0.98,27
002166,莱茵生物,10.39,-27.61,5.26,19.21,5.31,35.68,183.03,0,0,中成药,广西,0,26.82,0,0,--  ,0
002167,东方锆业,-54.69,-70.44,-26,24.39,3.34,-25.26,--  ,140553216,0.79,小金属,广东,10.57,6.96,109258,92817,1.18,7003
002168,深圳惠程,-56.91,5135.23,139.24,76.21,5.21,693.64,27.42,205025680,0.67,电气设备,深圳,12.39,8.13,129741,122351,1.06,473
002169,智光电气,18.05,74.54,6.54,10.6,5.8,256.93,75.07,75351536,0.72,电气设备,广东,13.11,13.92,29120,25029,1.16,0
002170,芭田股份,-3.51,-41.32,5.71,6.67,4.02,358.82,58.48,392392032,0.72,农药化肥,深圳,13.39,8.75,238768,209878,1.14,513
002171,楚江新材,4.12,68.71,0.88,1.28,4.59,240.03,69.34,111484128,0.59,铜,安徽,13.2,13.56,44105,38116,1.16,1589
002172,澳洋科技,-22.04,152.56,-1.29,4.12,5.09,61.63,98.59,81074248,0.83,化纤,江苏,13.13,6.89,54358,63388,0.86,131
002173,千足珍珠,-30.29,-315.24,-21.83,33.91,5.62,161.28,--  ,61243764,0.58,农业综合,浙江,9.62,12.94,27172,20165,1.35,269
002174,游族网络,63.6,33.07,31.57,37.9,22.06,185.18,56.72,0,0,互联网,福建,0,89.53,0,0,--  ,0
002175,东方网络,32.78,60.83,11.54,41.84,7.42,-182.14,199.43,298117216,0.69,电器仪表,广西,8.71,26.77,37277,74078,0.5,0
002176,江特电机,-4.74,10.23,8.69,32.99,6.85,-790.35,192.24,0,0,电气设备,江西,0,25.45,0,0,--  ,0
002177,御银股份,17.39,-24.47,11.06,10.75,3.34,-34.65,50.5,354489184,0.74,电脑设备,广东,13.4,7.69,236466,224453,1.05,2316
002178,延华智能,10.99,15.86,6.34,13.15,6.65,-42.6,76.62,145026512,0.76,建筑施工,上海,12.41,8.23,87487,88786,0.99,211
002179,中航光电,49.8,91.32,13.88,8.88,6.37,-547.38,38.33,1202505216,1.27,元器件,河南,15.16,32.9,199526,165972,1.2,10
002180,艾派克,-8.53,4.78,56.31,61.15,21.75,165.8,56.16,51549184,0.68,电脑设备,广东,14.39,32.63,7681,8117,0.95,584
002181,粤 传 媒,0.73,-34.22,6.6,14.06,2.16,-113.47,136.12,213153792,1.17,出版业,广东,13.03,7.87,159331,111415,1.43,7418
002182,云海金属,-8.41,2.16,0.32,1.57,2.6,29.13,77.51,78857160,0.72,小金属,江苏,10.81,8.32,50582,44193,1.14,73
002183,怡 亚 通,50.11,52.2,1.73,5.09,16.34,-78.16,163.84,0,0,仓储物流,深圳,0,73.15,0,0,--  ,0
002184,海得控制,10.56,161.06,3.39,5.7,5.52,-105.5,72.13,125625856,1.17,软件服务,上海,14.39,20.23,28023,34081,0.82,0
002185,华天科技,10.2,22.68,8.56,4.93,3.35,31.27,24.84,244539376,0.86,半导体,甘肃,13.73,12.55,98007,96867,1.01,45
002186,全 聚 德,2.31,6.73,10.33,6.31,4.28,48.88,41.08,63198684,0.73,酒店餐饮,北京,8.57,18.56,16641,17406,0.96,12
002187,广百股份,-4.1,4.62,4.27,1.09,1.7,-57.55,16.48,82183712,0.86,百货,广东,12.9,12.29,32406,34486,0.94,17
002188,新 嘉 联,-8.18,-70.64,-18.98,75.28,12.98,-237.04,--  ,0,0,元器件,浙江,0,24.27,0,0,--  ,0
002189,利达光电,20.29,90.78,1.29,7.17,5.56,67.32,268.55,88750280,0.81,元器件,河南,15.61,15.11,32115,26606,1.21,0
002190,成飞集成,134.73,1156.42,4.66,16.84,6.55,-200,208.58,336301376,0.75,汽车配件,四川,12.33,32.05,50380,54552,0.92,0
002191,劲嘉股份,12.54,22.25,34.29,18.79,6.7,73.9,32.15,0,0,广告包装,深圳,0,19.22,0,0,--  ,0
002192,*ST融捷,-86.79,56.27,-58.27,75.68,4.97,-76.42,--  ,47065596,0.66,化工原料,广东,7.48,20.34,9912,13229,0.75,0
002193,山东如意,0.58,30.6,3.62,6.27,2.61,10.6,75.11,37420500,0.7,纺织,山东,10.79,11.42,18122,14649,1.24,43
002194,武汉凡谷,-3.97,-25.8,5.68,7.37,2.98,-28.57,77.23,98343456,0.87,通信设备,湖北,12.6,10.33,53722,41520,1.29,82
002195,二三四五,207.96,609.53,28.74,30.78,4.95,149.54,56.95,328205760,1.12,软件服务,上海,14.22,22.85,77969,65679,1.19,5
002196,方正电机,42.86,245.59,2.37,8.23,3.45,-299.43,165.45,86697200,0.6,纺织机械,浙江,14.05,17.91,26542,21877,1.21,7
002197,证通电子,1.76,-37.76,1.66,16.92,4.8,-22.99,271.64,343087520,0.95,电器仪表,深圳,17.56,13.44,131372,123909,1.06,408
002198,嘉应制药,-16.02,0.41,16.11,18.65,4.59,-657.9,64.53,91156600,0.64,中成药,广东,11.1,7.94,55359,59383,0.93,10
002199,东晶电子,22.27,-65.22,-36.94,20.23,5.5,-128.39,--  ,0,0,元器件,浙江,0,14.92,0,0,--  ,0
002200,云投生态,16.69,0.96,3.51,6.48,2.73,-26.16,378.81,60170220,0.61,环境保护,云南,11.58,12.3,23923,24987,0.96,63
002201,九鼎新材,11.95,322.09,2,6.55,4.71,89.31,116.97,86811352,1.05,玻璃,江苏,11.9,9.43,49231,42857,1.15,790
002202,金风科技,110.9,276.62,14.24,4.47,2.8,202.09,16.91,1059717376,1.23,电气设备,新疆,8.09,15.25,428536,266578,1.61,96511
002203,海亮股份,3.08,-1.7,4.47,3.33,5.91,287.84,39.68,0,0,铜,浙江,0,12.71,0,0,--  ,0
002204,大连重工,22.73,-4.29,0.02,2.06,1.11,-58.11,175.93,106059200,0.9,专用机械,辽宁,12.47,7.57,71640,68519,1.05,1764
002205,国统股份,-43.81,-83.71,2.1,9.78,2.1,-13.83,248.9,80880120,0.6,其他建材,新疆,12.36,18.12,24244,20399,1.19,20
002206,海 利 得,-7.93,26.57,12.25,4.44,2.26,30.47,19.84,73849496,0.68,化纤,浙江,10.18,10.48,38721,31767,1.22,413
002207,准油股份,-10.29,-71.07,-8.54,24.71,5.71,65.42,--  ,0,0,石油开采,新疆,0,13.73,0,0,--  ,0
002208,合肥城建,-66.37,-146.71,-9.31,13.18,2.31,-9.99,--  ,81749344,0.7,区域地产,安徽,13.42,10.92,38876,35985,1.08,0
002209,达 意 隆,-12.8,-24.43,1.01,6.67,4.05,60.61,206.58,39269284,0.49,轻工机械,广东,9.24,13.94,16641,11536,1.44,776
002210,飞马国际,18.31,13.05,0.65,1.25,20.15,5.18,107.6,0,0,仓储物流,深圳,0,28.88,0,0,--  ,0
002211,宏达新材,-7.07,-888.4,-8.58,9.27,3.92,72.33,--  ,6572472,0.08,橡胶,江苏,0,7.24,250,8828,0.03,0
002212,南洋股份,1.01,2.75,3.91,6.57,3.43,-86.25,107.4,0,0,电气设备,广东,0,11.91,0,0,--  ,0
002213,特 尔 佳,-24.52,-26.91,10.66,25.45,6.6,-1355.71,172.19,31206494,0.52,汽车配件,深圳,13.86,11.32,8618,18940,0.46,297
002214,大立科技,12.98,2.75,3.79,63.67,10.18,-303.33,254.82,0,0,电器仪表,浙江,0,20.9,0,0,--  ,0
002215,诺 普 信,-5.19,10.21,17.58,6.76,5.64,-148.04,21.71,158235712,1.46,农药化肥,深圳,14.67,11.17,78909,62785,1.26,960
002216,三全食品,3.53,-7.38,2.62,3.32,4,-30.14,61.9,149654752,1.28,食品,河南,12.53,9.18,85419,77639,1.1,1
002217,合力泰,40.56,18.54,5.22,8.25,7.64,137.13,73.63,0,0,化工原料,山东,0,13.48,0,0,--  ,0
002218,拓日新能,-31.29,41.86,2.85,19.28,1.72,572.86,183.22,57799192,0.76,半导体,深圳,11.32,7.34,38555,40147,0.96,399
002219,恒康医疗,16.07,-49.16,24.32,66.48,7.57,578.71,173.88,0,0,中成药,甘肃,0,37.24,0,0,--  ,0
002220,天宝股份,-5.69,3.9,11.73,5.27,1.91,14.94,22.48,76827192,0.61,食品,辽宁,10.84,7.64,49113,51484,0.95,60
002221,东华能源,22.51,114.97,2.1,1.96,5.05,-31.8,91.17,192577392,0.83,石油贸易,江苏,11.61,20.41,52035,42312,1.23,3470
002222,福晶科技,7.35,10.21,31.72,30.59,5.33,119.38,53.27,148294368,0.83,元器件,福建,11.91,11.98,65716,58025,1.13,118
002223,鱼跃医疗,16.66,31.12,23.68,15.64,8.53,87.27,33.88,520850304,1.03,医疗保健,江苏,14.02,28.62,91892,90124,1.02,2
002224,三 力 士,-1.21,30.38,25.84,19.02,6.56,59.64,42.37,0,0,橡胶,浙江,0,12.72,0,0,--  ,0
002225,濮耐股份,13.79,11.36,7.51,4.14,2.37,151.44,31.32,83132520,1.15,其他建材,河南,11.73,6.61,72452,53377,1.36,18
002226,江南化工,-25.5,-48.18,13.51,11.99,2.66,69.38,75.06,16704000,0.08,化工原料,安徽,0,9.6,369,17031,0.02,0
002227,奥 特 迅,-8.31,-193.58,-8.44,27.99,5.28,-167,--  ,119108432,0.63,电气设备,深圳,13.83,18.67,31152,32653,0.95,0
002228,合兴包装,1.93,1.28,6.21,4.53,4.14,105.28,47.55,0,0,广告包装,福建,0,16.88,0,0,--  ,0
002229,鸿博股份,-10.83,-136.8,-2.25,10.85,4.03,-57.41,--  ,168733792,0.73,广告包装,福建,13.57,11.93,77998,63407,1.23,119
002230,科大讯飞,60.44,22.52,7.19,32.15,8.18,-353.91,116.74,1027060800,0.85,软件服务,安徽,11.61,25.75,228983,169856,1.35,29258
002231,奥维通信,-14.81,46.02,-13.73,39.73,6.03,-359.69,--  ,205027424,1,通信设备,辽宁,15.66,11.2,92830,90202,1.03,1742
002232,启明信息,0.55,33.16,0.71,8.49,4.11,-78.84,1204.63,101038416,0.75,软件服务,吉林,13.99,10.59,51140,44283,1.15,13
002233,塔牌集团,-7.89,-47.81,13.41,4.29,1.89,19.76,21.26,242624624,0.77,水泥,广东,12.69,8.52,167944,116736,1.44,95
002234,民和股份,-12.49,-1227.2,-30.4,5.75,2.43,17.53,--  ,43326072,0.61,农业综合,山东,12.77,8.81,25791,23405,1.1,210
002235,安妮股份,-2.62,-13.07,4.56,26.61,15.81,-990.47,479.74,0,0,造纸,福建,0,29.1,0,0,--  ,0
002236,大华股份,14.01,-8.4,10.91,11.99,7.53,-74.56,44.82,598940224,1.07,电器仪表,浙江,10.68,34.44,112664,61234,1.84,49192
002237,恒邦股份,7.06,-13.89,1.99,1.21,2.23,20.18,34.5,169420176,0.97,黄金,山东,9.13,8.53,115196,83430,1.38,4
002238,天威视讯,7.52,32.3,19.42,17.99,5.03,38.07,43.75,0,0,影视音像,深圳,0,23.76,0,0,--  ,0
002239,奥特佳,236.19,1550.96,10.89,28.27,5.34,285.94,115.9,0,0,服饰,江苏,0,18.33,0,0,--  ,0
002240,威华股份,-16.04,-213.43,-5.54,9.07,3.86,1019.08,--  ,0,0,家居用品,广东,0,12.39,0,0,--  ,0
002241,歌尔声学,15.91,-14.68,11.24,6.86,4.26,43.13,35.85,674171456,1.03,元器件,山东,8.97,23.92,164880,116982,1.41,37158
002242,九阳股份,20.21,14.71,12.76,4.53,4.84,23.56,22.45,402891712,0.86,家用电器,山东,12.88,18.03,100223,123256,0.81,24
002243,通产丽星,-6.66,-991.03,-2.34,6.44,2.15,40.54,--  ,115654664,0.96,塑料,深圳,12.07,8.69,59965,73126,0.82,0
002244,滨江集团,36.89,15.06,15.47,3.05,2.19,8.2,17.48,245751600,0.89,区域地产,浙江,12.61,6.6,203057,169482,1.2,34
002245,澳洋顺昌,4.94,92.93,18.33,7.55,3.75,35.44,21.41,72180400,0.65,仓储物流,江苏,11.22,5.87,60150,62773,0.96,887
002246,北化股份,-9.77,-25.85,2.47,4.2,3.2,158.92,80.96,74384056,0.62,化工原料,四川,13.07,9.08,43250,38638,1.12,89
002247,帝龙新材,2.03,15.07,9.7,13.42,5.39,-1752.82,65.7,0,0,装修装饰,浙江,0,20.71,0,0,--  ,0
002248,华东数控,-49,-9.81,-70.19,56.97,4.97,-413.84,--  ,0,0,机床制造,山东,0,16.7,0,0,--  ,0
002249,大洋电机,4.67,8.11,5.99,8.31,5.63,-272.75,66.77,357169152,1,电气设备,广东,13.68,11.04,174066,149559,1.16,5
002250,联化科技,8.01,25.38,18.67,8.37,4.06,41.23,26.61,226646816,1.07,化工原料,浙江,7.94,18.78,67828,52887,1.28,6625
002251,步 步 高,25.22,-12.73,3.28,1.27,2.07,20.16,21.23,234634848,1.16,超市连锁,湖南,10.83,12.79,104495,79020,1.32,1765
002252,上海莱士,50.63,379.03,121.94,130.63,10.7,377.4,64.14,723018560,1.67,生物制药,上海,7.14,74.76,59138,37571,1.57,60729
002253,川大智胜,22.3,4.93,18.19,41.91,4.21,777.57,131.72,111535264,0.79,软件服务,四川,13.7,26.11,23189,19535,1.19,24
002254,泰和新材,-7.66,-38.38,10.09,9.27,3.74,4940.93,64.69,214837920,1.18,化纤,山东,12.74,11.49,103035,84010,1.23,101
002255,海陆重工,-0.19,12.1,9.45,5.79,2.4,106.99,36.72,138486816,0.72,专用机械,江苏,14.81,7.59,90363,92129,0.98,133
002256,彩虹精化,-4.58,-17.55,14.01,16.29,7.62,132.29,65.26,0,0,染料涂料,深圳,0,13.79,0,0,--  ,0
002258,利尔化学,11.01,22.09,12.54,4.16,2.69,36.56,19,38847388,0.52,农药化肥,四川,11.3,17.06,12972,9802,1.32,12
002259,升达林业,-44.99,4.01,-0.2,20.14,5.36,499.04,306.62,0,0,家居用品,四川,0,7.06,0,0,--  ,0
002260,德奥通航,3.02,-26.73,-8.33,16.97,13.78,-710.53,--  ,189423744,0.71,航空,广东,16.29,17.55,40420,67521,0.6,2
002261,拓维信息,1.34,253.14,45.48,31.65,5.48,-211.64,37.29,402297792,1.16,互联网,湖南,16.3,21.72,99270,85944,1.16,2084
002262,恩华药业,10.36,18.33,12.77,8.61,6.8,256.58,39.53,66548832,0.52,化学制药,江苏,9.51,24.32,14186,13172,1.08,305
002263,大 东 南,13.32,151.42,0.46,14.93,2.18,38.24,701.03,1270116224,7.79,塑料,浙江,16.99,7.79,666727,963341,0.69,4791
002264,新 华 都,-8.74,-151.08,-0.82,0.94,2.98,-21.89,--  ,60921704,0.58,超市连锁,福建,11.24,5.99,51845,49791,1.04,510
002265,西仪股份,6.71,-849.34,-5.8,14.38,7.35,744.78,--  ,0,0,汽车配件,云南,0,12.69,0,0,--  ,0
002266,浙富控股,-19.95,-26.27,5.16,52.18,5.36,274.33,267.41,1325409792,0.63,电气设备,浙江,12.54,7.99,810033,848755,0.95,0
002267,陕天然气,33.13,28.27,13.18,4.06,2.84,18.3,18.32,131572608,1.32,供气供热,陕西,11.59,11.44,64829,50136,1.29,10
002268,卫 士 通,34.69,43.05,-5.52,37.03,11.91,-54.62,--  ,399175968,0.76,软件服务,四川,11.95,34.53,56382,59233,0.95,0
002269,美邦服饰,-7.24,-152.98,-3.35,5.17,4.17,49.99,--  ,381402368,0.86,服饰,上海,12.52,5.9,318470,328052,0.97,0
002270,法因数控,-29.76,-64.36,-0.36,19.88,3.39,179.57,430.73,96353912,0.65,机床制造,山东,13.6,10.88,47100,41498,1.13,105
002271,东方雨虹,-6.97,27.22,11.8,6.56,3.95,281.73,25.35,241736400,0.97,其他建材,北京,13.78,16.68,82684,62271,1.33,11
002272,川润股份,-7.33,-7.33,0.36,12.5,3.84,-174.32,493.9,0,0,机械基件,四川,0,11.2,0,0,--  ,0
002273,水晶光电,23.51,1.1,17.43,16.07,6.08,117.78,51.98,500359456,1.45,元器件,浙江,16.68,19.9,171929,79524,2.16,30
002274,华昌化工,-4.22,128.28,0.15,2.19,1.69,24.7,635.86,93969424,0.85,农药化肥,江苏,12.37,7.63,49689,73392,0.68,341
002275,桂林三金,-4.11,-6.23,41.93,18.69,5.2,54.38,26.02,78812056,1.21,中成药,广西,9.4,18.47,22659,19999,1.13,1256
002276,万马股份,10.55,11.58,4.3,5.7,5.02,-89.02,64.53,1137502208,0.99,电气设备,浙江,12.57,15.16,345732,404812,0.85,291
002277,友阿股份,3.07,-7.37,10.68,1.97,2,-9.3,12.65,247666448,0.96,百货,湖南,11.03,11,123252,101929,1.21,31
002278,神开股份,-0.01,3.44,11.24,16.97,4.9,-135.34,80.44,0,0,化工机械,上海,0,16.09,0,0,--  ,0
002279,久其软件,64.57,203.92,3.72,34.24,4.35,-91.16,373.69,189909376,0.83,软件服务,北京,13.87,28.32,32572,34477,0.94,407
002280,联络互动,126.58,146.27,61.22,56.88,16.78,35348.31,55.56,177268400,0.96,软件服务,浙江,15.24,22.57,36091,42437,0.85,26
002281,光迅科技,19.12,18.65,8.22,4.66,2.71,201.55,29.78,126870792,1,通信设备,湖北,10.8,31.73,23410,16574,1.41,2
002282,博深工具,-11.95,-15.86,6.24,11.21,3.47,77.98,86.82,37962924,0.71,轻工机械,河北,11.43,8.37,21558,23776,0.91,75
002283,天润曲轴,-6.14,8.97,9.92,6.85,1.8,18.66,35.87,153997712,0.73,汽车配件,山东,12.96,10.99,84795,55384,1.53,853
002284,亚太股份,1.48,10.14,6.94,3.7,2.51,61.89,30.81,73038920,0.7,汽车配件,浙江,12.47,8.95,42228,39355,1.07,449
002285,世联行,35.23,15.75,12.1,8.93,5.24,302.61,52.48,320708736,0.98,房产服务,深圳,16.26,11.36,147773,134609,1.1,4081
002286,保龄宝,36.99,10.65,5.07,8.67,3.65,-59.77,92.15,0,0,食品,山东,0,14.5,0,0,--  ,0
002287,奇正藏药,14.99,16.45,36.8,23.28,7,42.63,34.46,76609576,0.93,中成药,西藏,14.05,26.81,13572,15001,0.9,194
002288,超华科技,-19.3,-14.62,5.7,12.84,3.28,182.66,128.59,309224032,0.88,元器件,广东,12.63,6.42,242353,239421,1.01,0
002289,宇顺电子,0.24,-229.74,-1.93,5.65,5.12,-54.17,--  ,0,0,元器件,深圳,0,44.95,0,0,--  ,0
002290,禾盛新材,2.21,3.65,4.1,5.79,4,137.82,74.47,139456144,0.8,家用电器,江苏,14.01,16.48,46888,37732,1.24,271
002291,星期六,-3.81,-18.91,3.86,3.56,1.48,453.06,55.65,32542314,0.72,服饰,广东,13.14,7.51,19193,24111,0.8,157
002292,奥飞动漫,23.02,49.6,21.88,24.93,11.4,-784.69,61.49,1594528000,13.18,影视音像,广东,0,24.83,37459,604719,0.06,0
002293,罗莱家纺,12.38,16.78,16.46,8.05,4.32,142.57,27.38,113212888,0.9,服饰,江苏,12.79,13.78,43287,38860,1.11,3
002294,信立泰,27.17,25,43.85,16.47,6.93,69.8,22.06,388741216,1.29,化学制药,深圳,10.57,25.39,86743,66380,1.31,37976
002295,精艺股份,36.09,111.63,0.32,2.84,3.99,60.86,733.74,2155115,0.01,铜,广东,0,16.85,6,1273,0,0
002296,辉煌科技,19.79,31.09,17.35,26.23,3.43,464.42,77.89,500302240,0.78,通信设备,河南,12.28,13.22,181039,197282,0.92,0
002297,博云新材,-16.46,-1366.55,-19.9,24.16,3.45,-290.5,--  ,125070616,0.74,矿物制品,湖南,14.72,9.87,73327,53429,1.37,57
002298,鑫龙电器,-32.42,21.85,1.1,25.9,3.31,110.14,368.68,384604512,0.89,电气设备,安徽,13.25,11.15,188309,156551,1.2,0
002299,圣农发展,9.51,-911.54,-13.01,5.12,3.1,-163.06,--  ,137725744,0.9,农业综合,福建,9.35,15.03,48625,43012,1.13,116
002300,太阳电缆,15.26,99.04,4.36,2.18,2.81,-79.66,20.4,30548088,0.7,电气设备,福建,10.76,8.3,15693,21123,0.74,96
002301,齐心集团,-17.91,-254.96,-3.83,15.26,8.78,-150.38,--  ,0,0,文教休闲,深圳,0,25.9,0,0,--  ,0
002302,西部建设,3.42,218.41,1.94,1.63,1.93,-9.47,70.67,102866904,0.74,水泥,新疆,13.84,14.49,38857,32130,1.21,312
002303,美盈森,23.14,30.27,19.1,18.72,7.14,139.03,57.65,0,0,造纸,深圳,0,11.68,0,0,--  ,0
002304,洋河股份,10.61,11.57,44.34,9.19,4.24,30.3,13.81,533046976,1.35,白酒,江苏,5.93,57.31,56137,36871,1.52,66440
002305,南国置业,4.73,-202.3,-15.28,11.28,2.45,-3.53,--  ,57124092,0.65,区域地产,湖北,7.99,4.77,66779,52859,1.26,620
002306,*ST云网,-53.18,-1483.48,-51.49,37.98,-37.97,-311.63,--  ,0,0,酒店餐饮,北京,0,9.22,0,0,--  ,0
002307,北新路桥,-11.25,-27.9,-0.14,3.45,4.08,-25.88,174.82,327142336,0.77,建筑施工,新疆,12.49,9.69,139307,198277,0.7,0
002308,威创股份,4.99,-52.18,1.05,75.33,12.52,297.43,720.21,0,0,电脑设备,广东,0,30.97,0,0,--  ,0
002309,中利科技,-10.11,-714.88,-8.1,2.24,1.87,154.8,--  ,234858576,1,电气设备,江苏,13.07,13.35,82102,93763,0.88,458
