代码,名称,AB股总市值,B股(或A),H股,上市日期,买量,人均市值,人均持股,今开,公积金,内外比,内盘,净利润,净利润率%%,净益率%%,净资产,利润同比%%,利润总额,卖量,固定资产,地区,均价,外盘,存货,少数股权,市净率,市现率,市盈(动),市销率,应收帐款,强弱度%%,总现金流,总股本(万),总资产(万),总金额,投资收益,振幅%%,换手%%,收入同比%%,无形资产,昨收,最低,最高,未分利润,未匹配量,权益比,每笔均量,每笔换手,每股公积,每股净资,每股收益,每股未分配,活跃度,流动负债,流动资产,流通市值,流通股本(万),涨速%%,税后利润,细分行业,经营现金流,股东人数,营业利润,营业利润率%%,营业成本,营业收入,调整后净资,财务更新,资产负债率%%,量比,销售毛利率%%
000012,南  玻Ａ,        183.25亿,76247.36,0.0,19920228.0,8.0,7.33万,8301.0,8.69,126095.81,1.15,116690.0,20576.73,6.19,          2.74㈡,751798.81,-65.08,22712.3,5638.0,986040.19,深圳,8.87,101175.0,49580.39,5936.5,2.44,51.98,44.53,5.51,56546.8,-2.96,2772.42,207533.56,1532177.5,193229792.0,4245.43,10.0,1.67,1.85,92993.05,9.2,8.42,9.34,326942.03,--  ,49.07,78.0,0.0006,0.61,3.62,0.099㈡,1.58,2795.0,688688.94,167878.86,        115.02亿,130255.21,-0.78,22059.64,玻璃,35256.37,156909.0,15099.25,4.54,264602.06,332303.94,0.0,20150818.0,50.55,0.82,20.37
000014,沙河股份,         31.87亿,0.0,0.0,19920602.0,0.0,19.13万,12106.0,15.8,996.57,1.07,69525.0,1459.62,7.93,          2.16㈡,67670.53,-41.64,800.15,3745.0,2156.65,深圳,16.33,64762.0,171984.27,5829.8,4.71,-121.89,109.17,17.32,723.16,-8.91,-11472.83,20170.51,212902.91,219321088.0,0.0,12.54,6.66,-4.24,79.0,17.55,15.8,18.0,26487.8,--  ,31.78,42.0,0.0021,0.05,3.35,0.072㈡,1.31,3214.0,67852.5,192287.13,         31.87亿,20170.51,0.0,1547.82,全国地产,-2614.57,16662.0,-522.26,-2.84,12838.83,18403.52,0.0,20150822.0,65.48,0.81,30.24
000016,深康佳Ａ,        363.12亿,40561.23,0.0,19920327.0,0.0,34.97万,11594.0,--  ,129187.72,--  ,0.0,-29695.35,-3.32,         -7.82㈡,379772.44,-768.9,-35571.98,0.0,175997.06,深圳,30.16,0.0,374580.47,25601.52,9.56,518.42,--  ,4.06,220586.95,1.06,43399.62,120397.27,1613279.88,0.0,718.53,0.0,0.0,6.61,35464.85,30.16,--  ,--  ,43702.95,--  ,23.54,--  ,--  ,1.07,3.15,-0.247㈡,0.36,0.0,1118923.5,1254657.25,        180.93亿,59991.5,--  ,-30461.8,家用电器,7004.28,51744.0,-42192.05,-4.72,779121.56,894455.88,0.0,20150829.0,74.87,0.0,12.89
000017,深中华A,         47.47亿,24836.3,0.0,19920331.0,568.0,6.10万,7084.0,8.86,62783.42,1.27,57267.0,41.61,0.54,          3.38㈡,1231.95,-77.8,83.23,472.0,105.18,深圳,9.02,45117.0,1495.97,176.91,385.33,-844.95,5704.28,62.02,700.89,-6.36,-584.03,55134.78,5630.58,92336840.0,0.0,13.66,3.38,-10.66,414.15,9.3,8.41,9.68,-119953.57,--  ,21.88,46.0,0.0015,1.14,0.02,0.001㈡,-2.18,2243.0,4221.72,5110.05,         26.09亿,30297.88,0.11,59.25,文教休闲,-561.82,42768.0,78.83,1.03,6999.25,7653.68,0.0,20150820.0,74.98,0.83,8.55
000018,中冠A,         32.14亿,6942.18,0.0,19920616.0,18.0,19.05万,10025.0,18.66,3939.15,1.23,18707.0,-60.85,-10.93,         -0.47㈡,13069.38,-182.42,-60.85,324.0,114.51,深圳,19.29,15213.0,0.0,-174.21,24.59,3524.96,--  ,577.01,0.0,-6.3,84.89,16914.24,17323.35,65425576.0,-5.01,12.14,3.4,9.69,176.0,20.51,18.65,21.14,-10437.67,--  ,75.44,32.0,0.0032,0.23,0.77,-0.004㈡,-0.62,1051.0,3357.73,6445.16,         18.95亿,9972.04,0.26,-60.85,纺织,91.17,9947.0,-60.85,-10.93,192.25,556.96,0.0,20150829.0,25.56,0.78,65.48
000019,深深宝Ａ,         24.72亿,3136.32,0.0,19921012.0,182.0,9.27万,11295.0,8.28,51818.64,0.88,38074.0,531.75,3.26,          0.54㈡,97619.56,122.74,721.01,18.0,38728.65,深圳,8.47,43053.0,13736.17,2626.73,2.53,112.8,232.43,15.13,5826.85,-5.11,-8633.05,30108.01,110760.47,68744408.0,63.04,11.43,3.22,38.14,19363.92,8.75,8.0,9.0,10744.55,--  ,88.14,47.0,0.0019,1.72,3.24,0.018㈡,0.36,1719.0,8931.57,50343.43,         20.71亿,25225.24,1.23,252.48,软饮料,2191.36,22334.0,133.61,0.82,10557.76,16335.61,0.0,20150825.0,9.49,0.54,35.37
000020,深华发Ａ,         36.41亿,10199.58,0.0,19920428.0,0.0,2.73万,2123.0,12.86,10949.67,1.31,26622.0,1417.72,5.7,          4.80㈡,29552.85,873.76,1346.83,2444.0,19419.28,深圳,13.3,20271.0,3388.9,0.0,12.32,213.84,128.43,14.64,14503.09,-8.95,-139.17,28316.11,117277.86,62347408.0,2950.06,10.43,7.25,-32.15,4711.95,14.29,12.86,14.35,-17452.1,--  ,25.2,24.0,0.0037,0.39,1.04,0.050㈡,-0.62,1938.0,30418.46,89046.46,          8.32亿,6467.54,0.0,1417.72,元器件,1702.85,30469.0,1297.45,5.22,20746.35,24873.46,0.0,20150825.0,74.8,0.66,16.59
000021,深科技,        117.70亿,0.0,0.0,19940202.0,1007.0,11.35万,14191.0,7.35,69671.27,1.43,230212.0,13861.4,1.93,          2.65㈡,523259.41,1699.63,16821.6,4636.0,142943.23,深圳,7.79,161190.0,79898.0,178.71,2.25,68.05,42.46,1.63,190567.38,3.1,-62741.78,147125.94,1431806.75,304994272.0,870.53,11.73,2.66,-6.38,14637.97,7.84,7.16,8.08,166234.69,--  ,36.55,111.0,0.0008,0.47,3.56,0.094㈡,1.13,3526.0,901261.88,1084877.38,        117.59亿,146981.44,-0.24,13861.4,电脑设备,17296.7,103573.0,16246.4,2.26,692232.88,719910.75,0.0,20150828.0,63.44,0.96,3.84
000022,深赤湾Ａ,        170.02亿,17952.9,0.0,19930505.0,0.0,34.11万,12936.0,--  ,16269.85,--  ,0.0,24197.73,27.47,          5.83㈡,415142.78,2.82,34466.9,0.0,322338.03,深圳,26.37,0.0,1935.85,82784.78,4.1,46.52,35.13,19.3,23298.57,1.06,-16091.26,64476.37,671161.06,0.0,4883.49,0.0,0.0,0.55,106595.97,26.37,--  ,--  ,282759.34,--  ,61.85,--  ,--  ,0.25,6.44,0.375㈡,4.39,0.0,114247.15,61413.25,        122.59亿,46486.73,--  ,31021.05,港口,36552.25,35935.0,34375.2,39.03,46342.75,88078.8,0.0,20150827.0,25.81,0.0,47.38
000023,深天地Ａ,         42.36亿,0.0,0.0,19930429.0,0.0,41.78万,13685.0,--  ,10252.63,--  ,0.0,1078.82,2.57,          2.94㈡,36757.0,258.45,1693.45,0.0,11728.42,深圳,30.53,0.0,43474.93,6244.8,11.52,-115.6,196.34,10.1,64254.88,1.06,-1673.89,13875.62,145998.92,0.0,0.0,0.0,0.0,-8.58,915.5,30.53,--  ,--  ,8098.81,--  ,25.18,--  ,--  ,0.74,2.65,0.078㈡,0.58,0.0,101797.43,130420.27,         42.36亿,13875.62,--  ,1079.18,建筑施工,-3664.66,10139.0,1601.55,3.82,35167.3,41941.6,0.0,20150805.0,70.55,0.0,16.15
000024,招商地产,        815.03亿,21235.74,0.0,19930607.0,0.0,33.02万,10436.0,--  ,889169.63,--  ,0.0,214550.22,11.94,          6.55㈡,3277769.0,20.17,347904.94,0.0,178590.06,深圳,31.64,0.0,11270854.0,1462113.88,2.49,-11.07,18.99,4.53,7573.81,1.06,75150.46,257595.06,16880926.0,0.0,49311.46,0.0,0.0,12.01,50320.71,31.64,--  ,--  ,1998477.63,--  ,19.42,--  ,--  ,3.45,12.72,0.833㈡,7.76,0.0,8379581.5,15599496.0,        324.76亿,102641.64,--  ,238814.72,全国地产,-736109.5,98350.0,346904.34,19.3,1198651.0,1797394.75,0.0,20150825.0,71.92,0.0,33.31
000025,特  力Ａ,         63.62亿,2640.0,0.0,19930621.0,0.0,28.84万,13475.0,21.4,56419.26,0.46,38998.0,765.03,4.83,          0.92㈡,83305.06,38.56,850.94,15048.0,13973.1,深圳,22.0,84010.0,839.0,1010.84,7.64,187.87,415.79,40.14,410.25,-8.95,5120.91,29728.16,114397.47,270628288.0,62.42,10.89,6.86,-30.7,5332.06,23.78,21.4,23.99,-3137.61,--  ,72.82,47.0,0.0026,1.9,2.8,0.026㈡,-0.11,2626.0,26412.19,43726.55,         38.37亿,17929.46,0.0,730.87,汽车服务,3386.28,13306.0,849.78,5.36,11693.95,15849.17,0.0,20150826.0,26.3,0.73,26.22
000026,飞亚达Ａ,         34.76亿,8164.79,0.0,19930603.0,18.0,11.50万,12989.0,8.77,52550.81,1.18,55193.0,7310.93,4.34,          4.37㈡,167439.77,-17.19,9554.21,1502.0,36787.03,深圳,9.11,46812.0,209619.17,324.91,2.08,20.18,23.77,2.06,44730.46,-5.09,4432.0,39276.78,382085.0,92960400.0,25.0,12.2,3.28,2.51,3527.9,9.43,8.65,9.8,60065.21,--  ,43.82,41.0,0.0013,1.34,4.26,0.186㈡,1.53,2505.0,156355.16,280158.22,         27.53亿,31107.0,0.11,7328.05,其他商业,17225.36,23948.0,9403.76,5.58,103798.17,168379.31,0.0,20150814.0,56.09,0.74,38.35
000027,深圳能源,        387.73亿,0.0,0.0,19930903.0,6546.0,9.32万,9530.0,9.97,431470.25,1.04,379066.0,102628.9,18.7,          4.64㈡,2211363.5,-0.68,148326.63,476.0,1530528.63,深圳,10.16,363872.0,128751.6,272459.13,1.75,21.4,18.89,7.06,281403.09,-7.88,243112.5,396449.16,4877652.5,755060288.0,27950.99,11.17,5.17,-10.95,338992.69,10.74,9.67,10.87,709002.69,--  ,45.34,172.0,0.0012,1.09,5.58,0.259㈡,1.79,4309.0,1740750.63,1519723.38,        140.59亿,143752.5,-0.3,120469.86,火力发电,181163.09,150842.0,127010.85,23.14,383711.34,548868.19,0.0,20150821.0,49.08,0.89,30.09
000028,国药一致,        215.00亿,5488.56,0.0,19930809.0,3.0,84.08万,14182.0,55.0,186389.45,1.51,12676.0,38731.92,3.02,          7.63㈡,507940.06,10.91,49499.1,161.0,71104.05,深圳,57.24,8388.0,222712.34,9936.86,4.23,47.97,27.76,1.68,785894.19,2.24,30333.43,36263.19,1381265.63,120578224.0,2827.4,10.24,0.9,10.34,14120.9,58.6,54.0,60.0,267155.81,--  ,36.77,15.0,0.0006,5.14,14.01,1.068㈡,7.37,1415.0,833908.88,1196423.38,        138.30亿,23326.17,0.27,39964.21,医药商业,44823.95,16448.0,48244.95,3.77,1180166.13,1281380.38,0.0,20150820.0,62.51,0.69,7.9
000029,深深房Ａ,        104.10亿,12000.0,0.0,19930915.0,208.0,16.24万,15780.0,10.03,97824.49,0.94,217776.0,18640.77,16.24,          7.94㈡,234804.59,436.7,24983.02,275.0,5078.18,深圳,10.76,232548.0,245441.84,-12855.69,4.43,22.83,27.92,9.07,27882.05,-2.68,29651.56,101166.0,446255.59,484407328.0,22.03,16.56,5.05,100.24,592.5,10.69,9.81,11.58,30635.47,--  ,52.62,109.0,0.0012,0.97,2.32,0.184㈡,0.3,4147.0,176249.91,386676.97,         91.75亿,89166.0,-0.86,18640.4,区域地产,45588.69,56504.0,24944.74,21.74,69764.57,114755.27,0.0,20150829.0,50.26,0.98,39.21
000030,富奥股份,        111.74亿,3415.63,0.0,19930929.0,1210.0,12.27万,14197.0,7.83,52170.23,1.16,121125.0,28867.02,12.56,          6.46㈡,447114.06,-12.16,32706.3,919.0,132692.47,吉林,8.15,103987.0,49870.5,45654.68,2.51,51.99,19.35,4.86,104112.15,6.55,30332.55,129325.14,733050.06,183363136.0,22155.57,15.63,4.02,-12.64,24812.51,8.19,7.45,8.73,233545.02,--  ,60.99,78.0,0.0014,0.4,3.44,0.223㈡,1.81,2892.0,190795.38,338260.63,         48.43亿,56056.17,-0.23,30669.1,汽车配件,21492.5,39485.0,32077.55,13.96,187988.91,229811.67,3.44,20150826.0,32.78,1.0,18.2
000031,中粮地产,        289.83亿,0.0,0.0,19931008.0,85.0,10.69万,6687.0,15.33,27988.26,1.06,775601.0,19651.47,7.05,          3.44㈡,571915.5,43.28,34404.05,5430.0,57702.0,深圳,16.03,729440.0,3437255.5,497594.34,5.07,21.05,73.74,10.4,8612.69,-2.96,189458.11,181373.16,4955406.0,2413062144.0,63151.46,16.58,8.3,18.42,6083.56,16.65,14.99,17.75,267615.59,--  ,11.54,337.0,0.0019,0.15,3.15,0.108㈡,1.48,4466.0,2739303.0,4418432.0,        289.83亿,181372.02,-0.43,17545.9,全国地产,137694.13,271225.0,34266.85,12.3,224423.09,278614.63,0.0,20150829.0,78.42,0.82,19.45
000032,深桑达Ａ,         28.90亿,0.0,0.0,19931028.0,0.0,16.44万,13250.0,12.42,20723.75,1.25,45444.0,-352.85,-0.7,         -0.40㈡,87636.75,64.53,-489.68,1558.0,5722.49,深圳,12.81,36240.0,27183.64,13563.4,3.3,-159.51,--  ,5.77,10105.53,-8.95,-3719.03,23286.42,129097.51,104646392.0,500.16,12.62,3.51,-30.53,27604.85,13.79,12.41,14.15,21638.93,--  ,67.88,42.0,0.0018,0.89,3.76,-0.015㈡,0.93,1954.0,27463.21,76735.77,         28.90亿,23286.32,0.0,-736.87,元器件,-1811.68,17575.0,-508.82,-1.02,43395.25,50110.65,0.0,20150730.0,21.61,0.96,13.4
000034,深信泰丰,         34.01亿,0.0,0.0,19940509.0,0.0,11.42万,12025.0,9.5,64072.68,0.41,139905.0,2277.25,10.86,         12.09㈡,18840.9,-55.87,2333.74,34246.0,5695.68,深圳,9.67,341553.0,10318.95,0.0,18.05,-134.13,74.67,16.22,2866.86,-8.89,1337.12,35797.35,44637.65,465637376.0,702.57,8.91,14.16,-13.1,464.07,10.55,9.5,10.44,-87602.96,--  ,42.21,195.0,0.0057,1.79,0.53,0.064㈡,-2.45,2472.0,25723.68,24746.42,         32.31亿,34006.42,0.0,2277.25,综合类,-2535.34,28279.0,-824.85,-3.93,18866.65,20967.13,0.0,20150818.0,57.79,1.88,10.02
000035,中国天楹,         71.71亿,0.0,0.0,19940408.0,380.0,14.87万,12840.0,11.5,94385.43,1.2,34817.0,6668.31,24.6,          3.95㈡,168886.55,10.36,7765.57,408.0,71891.18,江苏,12.0,29022.0,5387.9,0.0,2.44,83.23,53.77,26.45,15374.57,-6.08,-9350.45,61927.89,397917.28,76625840.0,0.0,11.07,1.81,57.52,184495.27,12.47,11.31,12.69,37213.09,--  ,42.44,34.0,0.001,1.52,4.74,0.108㈡,0.6,1862.0,118081.32,68817.88,         40.95亿,35362.69,0.08,6668.31,通信设备,8616.19,27540.0,7258.42,26.77,11568.38,27110.75,4.74,20150805.0,57.56,0.54,57.33
000036,华联控股,         67.74亿,0.0,0.0,19940617.0,1921.0,6.93万,11673.0,5.87,15546.49,1.18,238383.0,-1562.97,-16.3,         -0.82㈡,190557.77,-1346.03,-1550.85,4673.0,28780.1,深圳,6.16,201293.0,345596.34,61538.88,3.5,-20.56,--  ,70.63,690.71,-2.35,63597.07,114048.77,543445.69,270707904.0,289.48,12.52,3.91,-15.97,625.93,6.15,5.8,6.57,51339.5,--  ,35.06,129.0,0.0011,0.14,1.7,-0.014㈡,0.45,3405.0,74102.56,441307.41,         66.76亿,112388.02,0.16,-1687.55,全国地产,-32948.2,96281.0,-1481.71,-15.45,5071.95,9591.55,1.7,20150831.0,53.61,0.84,47.12
000037,深南电Ａ,         40.81亿,26385.44,0.0,19940701.0,490.0,5.51万,8143.0,6.67,36275.07,1.24,77478.0,-10254.6,-15.76,         -8.78㈡,116807.65,-36.28,-12832.07,1881.0,180716.17,深圳,6.91,62538.0,127227.15,8134.15,3.49,12.8,--  ,6.27,35697.21,-7.58,29150.22,60276.26,514827.5,96746168.0,-88.33,12.69,4.13,23.35,5517.27,7.41,6.67,7.61,-13034.51,--  ,22.69,57.0,0.0017,0.6,1.94,-0.170㈡,-0.22,2458.0,347649.0,314164.0,         22.94亿,33889.51,-0.29,-12880.95,火力发电,31885.51,41617.0,-26198.13,-40.27,74690.77,65055.71,0.0,20150825.0,75.73,1.06,-14.81
000038,深大通,         24.87亿,0.0,0.0,19940808.0,0.0,13.27万,5137.0,26.4,2234.82,0.59,36971.0,-89.58,-0.92,         -0.82㈡,10893.57,91.79,218.65,1769.0,6.17,深圳,26.34,62468.0,55576.05,3702.83,22.83,1792.48,--  ,25.57,0.0,-8.94,138.57,9622.79,63186.73,261935280.0,0.0,10.66,35.47,85.37,0.0,28.71,25.84,28.9,-1552.74,--  ,17.24,45.0,0.0162,0.23,1.13,-0.009㈡,-0.16,2192.0,47585.12,62300.03,          7.24亿,2803.19,0.0,-82.51,区域地产,138.72,5457.0,361.42,3.72,7860.27,9725.74,0.0,20150827.0,76.9,1.45,19.18
000039,中集集团,        258.48亿,0.0,143048.05,19940408.0,59256.0,26.03万,12655.0,18.5,86361.6,1.3,268625.0,151819.5,4.65,          6.05㈡,2509667.25,46.68,207747.8,688.0,1900928.25,深圳,20.02,206572.0,1949833.75,513419.81,2.2,-88.37,18.2,1.69,1277812.25,6.82,63923.3,268708.5,9559349.0,951418304.0,74498.3,12.9,3.78,1.84,443919.91,19.45,18.21,20.72,1733712.38,--  ,26.25,140.0,0.0011,0.32,9.34,0.565㈡,6.45,3395.0,5032664.0,4754012.5,        258.35亿,125597.1,-0.04,165241.0,轻工机械,-62545.3,99247.0,202674.41,6.21,2751928.0,3263729.0,0.0,20150828.0,68.38,1.48,15.68
000040,宝安地产,         45.41亿,0.0,0.0,19940808.0,0.0,8.53万,8819.0,--  ,27375.21,--  ,0.0,2060.6,4.21,          1.60㈡,128756.27,150.51,3573.08,0.0,6924.57,深圳,9.67,0.0,341285.97,-23.63,3.53,173.42,110.19,9.29,1673.8,1.06,-20977.4,46959.33,421361.69,0.0,-325.61,0.0,0.0,44.06,1309.95,9.67,--  ,--  ,35882.9,--  ,30.56,--  ,--  ,0.58,2.74,0.044㈡,0.76,0.0,290961.41,389969.31,         44.93亿,46458.83,--  ,2058.59,全国地产,2618.49,52682.0,3602.62,7.37,29313.18,48903.23,0.0,20150826.0,69.45,0.0,40.06
000042,中洲控股,         63.98亿,0.0,0.0,19940921.0,310.0,23.54万,17620.0,13.3,58488.8,0.94,31652.0,41878.12,18.0,         11.48㈡,364666.91,49.01,58308.31,405.0,17929.82,深圳,13.64,33514.0,1495457.63,107.58,1.75,-12.75,7.64,2.75,1188.02,-3.24,-14787.45,47892.6,2052834.38,88874248.0,545.31,9.31,1.36,72.95,616.53,13.96,13.0,14.3,215823.41,--  ,17.76,36.0,0.0008,1.22,7.61,0.874㈡,4.51,1791.0,1076935.75,1657580.13,         63.97亿,47879.07,-0.22,41878.12,全国地产,-50188.05,27173.0,59065.51,25.39,111420.42,232675.84,0.0,20150829.0,82.23,0.54,52.11
000043,中航地产,         53.09亿,0.0,0.0,19940928.0,0.0,20.33万,25537.0,8.05,44666.5,0.7,108386.0,-11143.55,-6.91,         -3.35㈡,332692.41,-325.29,-11773.63,18179.0,14395.57,深圳,8.21,155803.0,1278667.5,76936.25,1.6,-7.11,--  ,3.29,44960.48,-8.89,32272.9,66696.14,2230940.0,216822096.0,53.75,13.01,3.96,-17.9,2178.71,8.84,7.96,9.11,201231.34,--  ,14.91,79.0,0.0012,0.67,4.99,-0.167㈡,3.02,3341.0,1009308.31,1672104.38,         53.09亿,66696.14,0.0,-13651.0,全国地产,-74634.88,26117.0,-11654.92,-7.22,116889.52,161340.75,0.0,20150821.0,81.64,0.76,27.55
