细分行业,市盈(动),均价,市盈(动)按总资产加权,均价按总资产加权,市盈(动)按流通市值加权,均价按流通市值加权
塑料,98.518,17.0382857143,3.02389140759,0.418060374578,2.9301749343,0.489739710388
多元金融,24.465,18.88875,2.45647032469,2.52297081229,2.76822786465,2.29379199892
家居用品,69.18,20.0606666667,3.79714025443,1.22186830888,3.96720925984,1.32390624242
家用电器,89.8177419355,15.9135294118,0.586838895568,0.449747761157,0.954156494419,0.484116341881
小金属,525.128823529,14.2877777778,17.7702145869,0.458185048371,32.9940415578,0.572280409719
工程机械,290.1216,11.2869444444,10.3213032881,0.21664453935,9.9137478815,0.255753482865
广告包装,150.163181818,17.7313043478,6.17181153963,0.658881991819,6.12729944239,0.745386107368
建筑施工,82.8167307692,13.9057407407,0.429286711539,0.189371518383,0.60792959024,0.20615629445
影视音像,95.1227272727,30.7936363636,3.41475279696,1.37057073738,4.08435485605,1.4086772174
房产服务,257.432,17.656,5.14598213101,2.58238216821,28.6452096831,2.66462977623
批发业,42.24,13.3633333333,8.69832475287,2.08806424073,10.9449134236,2.50988721995
摩托车,319.145,9.456,15.2867419922,1.82818618895,34.917000204,1.92548340813
文教休闲,616.892666667,20.61,14.4999317117,0.988500753257,21.4306773582,1.17941013323
新型电力,111.386666667,12.0233333333,12.1872033114,3.0046424761,14.5298205602,3.20608221574
旅游景点,76.11125,14.0691666667,3.64016815979,0.777886279132,4.49343238971,1.08397760456
旅游服务,273.2175,22.7145454545,11.245921024,3.18590045495,13.213040845,3.42995812238
日用化工,142.092,14.96875,12.0265477009,2.09333867073,13.1242891192,2.90344748254
普钢,732.774545455,6.70296296296,10.6797148759,0.175417811688,12.938365248,0.193332844898
服饰,165.237391304,19.743877551,1.18639710722,0.341192014449,2.74477715216,0.380304834181
机场,19.18,16.4225,5.05114572324,4.50941344402,4.93426460262,4.61615624003
机床制造,170.556,19.3672727273,3.53479869724,1.47045979124,7.20753321984,1.70549249417
机械基件,158.581568627,17.283,2.2038758729,0.221330866849,2.87244713709,0.293411151733
林业,697.215,12.92,88.0427383735,2.09576055667,72.0441499916,2.10592245245
染料涂料,236.742727273,15.4945454545,7.33949840959,1.15079230228,10.7880769862,1.15661447663
橡胶,47.2757142857,15.8255555556,2.98063253052,1.49631003329,3.77289404155,1.76709256076
水力发电,423.292,10.7317647059,3.09667034709,0.811190486325,4.98883198724,0.802989598929
水务,57.6036363636,11.3763636364,3.41699205211,0.94036768429,3.72582608666,0.877187994215
水泥,197.207894737,10.0864,2.90607458472,0.426596842106,4.06217995453,0.489188330732
水运,432.94,10.0676923077,48.7753320429,0.804899114702,77.3309634508,0.828810355812
汽车整车,84.1352631579,13.7660869565,1.7513202533,0.82879270673,1.67589980454,0.801020646883
汽车服务,223.876666667,9.25571428571,43.8554466511,0.731465718808,32.9077387968,1.00332510311
汽车配件,67.135625,16.1130985915,0.695465385199,0.189889162609,0.792226365532,0.212475052978
渔业,578.87625,15.0866666667,94.9530651304,1.59956799857,133.183720533,2.14355071966
港口,47.604375,9.26625,2.11035163664,0.502293261224,2.14010573032,0.503223587996
火力发电,31.6789189189,9.54973684211,0.470369615704,0.207575054609,0.561036638545,0.227444067869
焦炭加工,62.63,8.50444444444,9.88762829905,0.853648836057,4.45141609102,0.95667569642
煤炭开采,223.27375,7.61933333333,4.50777763265,0.323050020672,5.11638597066,0.387918975698
特钢,61.1966666667,15.4777777778,18.0996614744,0.885949164067,8.47671676062,2.24925958509
环境保护,85.4419047619,20.9468181818,3.3264483281,0.86948289522,3.6984831266,1.09322208424
玻璃,290.290625,17.5442105263,6.71815999073,0.735987485526,15.7971225025,0.888113055836
生物制药,109.57875,30.8821212121,2.26845406155,1.02072919905,2.53159618416,1.34990871164
