date,close,turn,dailyreturn
2003-09-10,1.9994 ,-0.0200 ,-0.1845 
2003-09-11,2.0105 ,0.0600 ,0.5545 
2003-09-12,1.9921 ,-0.1000 ,-0.9191 
2003-09-15,1.9957 ,0.0200 ,0.1855 
2003-09-16,2.0364 ,0.2200 ,2.0370 
2003-09-17,1.9754 ,-0.3300 ,-2.9946 
2003-09-18,1.9736 ,-0.0100 ,-0.0935 
2003-09-19,1.9902 ,0.0900 ,0.8427 
2003-09-22,1.9588 ,-0.1700 ,-1.5785 
2003-09-23,1.9865 ,0.1500 ,1.4151 
2003-09-24,1.9773 ,-0.0500 ,-0.4651 
2003-09-25,1.9034 ,-0.4000 ,-3.7383 
2003-09-26,1.8461 ,-0.3100 ,-3.0097 
2003-09-29,1.7925 ,-0.2900 ,-2.9029 
2003-09-30,1.8220 ,0.1600 ,1.6495 
2003-10-08,1.8239 ,0.0100 ,0.1014 
2003-10-09,1.8202 ,-0.0200 ,-0.2026 
2003-10-10,1.8701 ,0.2700 ,2.7411 
2003-10-13,1.8498 ,-0.1100 ,-1.0870 
2003-10-14,1.8516 ,0.0100 ,0.0999 
2003-10-15,1.8165 ,-0.1900 ,-1.8962 
2003-10-16,1.8294 ,0.0700 ,0.7121 
2003-10-17,1.8294 ,0.0000 ,0.0000 
2003-10-20,1.8091 ,-0.1100 ,-1.1111 
2003-10-21,1.7832 ,-0.1400 ,-1.4300 
2003-10-22,1.8220 ,0.2100 ,2.1762 
2003-10-23,1.8220 ,0.0000 ,0.0000 
2003-10-24,1.7980 ,-0.1300 ,-1.3185 
2003-10-27,1.6927 ,-0.5700 ,-5.8582 
2003-10-28,1.6280 ,-0.3500 ,-3.8210 
2003-10-29,1.5966 ,-0.1700 ,-1.9296 
2003-10-30,1.5375 ,-0.3200 ,-3.7037 
2003-10-31,1.5578 ,0.1100 ,1.3221 
2003-11-03,1.5689 ,0.0600 ,0.7117 
2003-11-04,1.5855 ,0.0900 ,1.0601 
2003-11-05,1.5615 ,-0.1300 ,-1.5152 
2003-11-06,1.4635 ,-0.5300 ,-6.2722 
2003-11-07,1.5134 ,0.2700 ,3.4091 
2003-11-10,1.4913 ,-0.1200 ,-1.4652 
2003-11-11,1.4709 ,-0.1100 ,-1.3631 
2003-11-12,1.4709 ,0.0000 ,0.0000 
2003-11-13,1.5245 ,0.2900 ,3.6432 
2003-11-14,1.5282 ,0.0200 ,0.2424 
2003-11-17,1.5134 ,-0.0800 ,-0.9674 
2003-11-18,1.4931 ,-0.1100 ,-1.3431 
2003-11-19,1.5559 ,0.3400 ,4.2079 
2003-11-20,1.6650 ,0.5900 ,7.0071 
2003-11-21,1.6003 ,-0.3500 ,-3.8846 
2003-11-24,1.6428 ,0.2300 ,2.6559 
2003-11-25,1.6428 ,0.0000 ,0.0000 
2003-11-26,1.6742 ,0.1700 ,1.9123 
2003-11-27,1.6336 ,-0.2200 ,-2.4283 
2003-11-28,1.6280 ,-0.0300 ,-0.3394 
2003-12-01,1.6816 ,0.2900 ,3.2917 
2003-12-02,1.6687 ,-0.0700 ,-0.7692 
2003-12-03,1.6539 ,-0.0800 ,-0.8859 
2003-12-04,1.6446 ,-0.0500 ,-0.5587 
2003-12-05,1.6705 ,0.1400 ,1.5730 
2003-12-08,1.6354 ,-0.1900 ,-2.1018 
2003-12-09,1.7019 ,0.3600 ,4.0678 
2003-12-10,1.7444 ,0.2300 ,2.4973 
2003-12-11,1.7241 ,-0.1100 ,-1.1653 
2003-12-12,1.6964 ,-0.1500 ,-1.6077 
2003-12-15,1.6982 ,0.0100 ,0.1089 
2003-12-16,1.6354 ,-0.3400 ,-3.6997 
2003-12-17,1.6003 ,-0.1900 ,-2.1469 
2003-12-18,1.5689 ,-0.1700 ,-1.9630 
2003-12-19,1.5079 ,-0.3300 ,-3.8869 
2003-12-22,1.5947 ,0.4700 ,5.7598 
2003-12-23,1.5781 ,-0.0900 ,-1.0429 
2003-12-24,1.5615 ,-0.0900 ,-1.0539 
2003-12-25,1.5578 ,-0.0200 ,-0.2367 
2003-12-26,1.5800 ,0.1200 ,1.4235 
2003-12-29,1.5467 ,-0.1800 ,-2.1053 
2003-12-30,1.5375 ,-0.0500 ,-0.5974 
2003-12-31,1.5393 ,0.0100 ,0.1202 
2004-01-02,1.5652 ,0.1400 ,1.6807 
2004-01-05,1.5892 ,0.1300 ,1.5348 
2004-01-06,1.6650 ,0.4100 ,4.7674 
2004-01-07,1.6650 ,0.0000 ,0.0000 
2004-01-08,1.6945 ,0.1600 ,1.7758 
2004-01-09,1.6539 ,-0.2200 ,-2.3991 
2004-01-12,1.6446 ,-0.0500 ,-0.5587 
2004-01-13,1.6687 ,0.1300 ,1.4607 
2004-01-14,1.6483 ,-0.1100 ,-1.2182 
2004-01-15,1.6354 ,-0.0700 ,-0.7848 
2004-01-16,1.7093 ,0.4000 ,4.5198 
2004-01-29,1.8627 ,0.8300 ,8.9730 
2004-01-30,1.7777 ,-0.4600 ,-4.5635 
2004-02-02,1.8405 ,0.3400 ,3.5343 
2004-02-03,1.9200 ,0.4300 ,4.3173 
2004-02-04,1.9440 ,0.1300 ,1.2512 
2004-02-05,1.9200 ,-0.1300 ,-1.2357 
2004-02-06,1.8775 ,-0.2300 ,-2.2137 
2004-02-09,1.9311 ,0.2900 ,2.8543 
2004-02-10,1.9569 ,0.1400 ,1.3397 
2004-02-11,1.9699 ,0.0700 ,0.6610 
2004-02-12,1.9569 ,-0.0700 ,-0.6567 
2004-02-13,1.9403 ,-0.0900 ,-0.8499 
2004-02-16,2.0346 ,0.5100 ,4.8571 
2004-02-17,2.1066 ,0.3900 ,3.5422 
2004-02-18,2.1621 ,0.3000 ,2.6316 
2004-02-19,2.3117 ,0.8100 ,6.9231 
2004-02-20,2.2970 ,-0.0800 ,-0.6395 
2004-02-23,2.1805 ,-0.6300 ,-5.0684 
